Michigan St,108.3
Ohio State,107.5
Wisconsin,107.4
Minnesota,107.3
Michigan,107.1
Marquette,106.7
Indiana,106.6
Louisville,106.6
Georgetown,106.4
Illinois,106.4
Villanova,106.2
Syracuse,106.2
Cincinnati,106.2
N Carolina,106.1
Duke,106.1
Oklahoma,106.1
New Mexico,106.1
Miami (FL),106.1
Connecticut,106.0
Colorado,106.0
Kansas,106.0
Colorado St,105.9
San Diego St,105.8
UNLV,105.8
Boise State,105.8
Pittsburgh,105.7
Oklahoma St,105.6
Kansas St,105.6
NC State,105.6
Iowa,105.5
Arizona,105.5
Stanford,105.5
Baylor,105.5
California,105.4
Iowa State,105.4
Butler,105.4
USC,105.4
Purdue,105.3
UCLA,105.3
Fresno St,105.2
Notre Dame,105.1
Texas,105.1
Air Force,105.0
Missouri,104.9
Florida,104.8
Washington,104.8
Wyoming,104.8
Providence,104.7
Nebraska,104.7
Tennessee,104.5
N Iowa,104.4
Oregon,104.3
S Florida,104.3
Kentucky,104.3
Virginia,104.2
Florida St,104.2
St Johns,104.2
Penn State,104.1
Creighton,104.1
Arkansas,104.1
Rutgers,104.1
Temple,104.1
W Virginia,104.1
Boston Col,104.1
Seton Hall,104.0
Xavier,104.0
Northwestern,103.9
Gonzaga,103.9
GA Tech,103.9
Wichita St,103.8
Utah,103.8
Nevada,103.7
Wake Forest,103.7
Indiana St,103.7
Alabama,103.6
Maryland,103.6
Saint Louis,103.6
La Salle,103.6
Wash State,103.6
Georgia,103.5
VCU,103.5
Arizona St,103.4
Richmond,103.4
U Mass,103.4
VA Tech,103.4
Vanderbilt,103.4
Dayton,103.4
St Josephs,103.3
Clemson,103.2
Evansville,103.2
St Bonavent,103.1
Texas A&M,103.1
Illinois St,103.1
Geo Wshgtn,103.1
LSU,103.1
Oregon St,103.0
Drake,102.9
BYU,102.9
St Marys,102.8
Mississippi,102.7
DePaul,102.5
Detroit,102.5
Missouri St,102.5
S Mississippi,102.4
Memphis,102.4
Rhode Island,102.4
