Georgia,108.6
Florida,107.1
Kentucky,107.1
Miss State,106.9
Kansas,106.8
Notre Dame,106.7
Texas,106.6
Alabama,106.6
Tennessee,106.5
Missouri,106.4
Oklahoma St,106.4
Wake Forest,106.3
GA Tech,106.3
Texas Tech,106.2
Arizona,106.2
Syracuse,106.1
Maryland,106.1
Louisville,106.1
Oklahoma,106.0
Colorado,106.0
Arizona St,106.0
Duke,105.9
Indiana,105.9
Michigan St,105.8
LSU,105.8
S Carolina,105.8
Seton Hall,105.6
Villanova,105.6
N Carolina,105.5
Illinois,105.5
Marquette,105.4
Cincinnati,105.4
Arkansas,105.4
NC State,105.3
Purdue,105.3
Vanderbilt,105.3
Stanford,105.2
Boston Col,105.2
Pittsburgh,105.2
DePaul,105.1
Mississippi,105.1
Providence,105.1
Auburn,105.1
Virginia,105.0
Connecticut,105.0
Saint Louis,105.0
California,104.8
St Johns,104.8
W Virginia,104.7
Florida St,104.7
Wisconsin,104.6
Xavier,104.6
USC,104.6
Texas A&M,104.6
Michigan,104.6
Charlotte,104.5
BYU,104.4
Kansas St,104.4
Dayton,104.4
Georgetown,104.3
Ohio State,104.3
Iowa State,104.2
Clemson,104.2
UCLA,104.2
Rutgers,104.2
Miami (FL),104.1
Temple,103.9
St Josephs,103.9
Minnesota,103.8
Nebraska,103.8
Oregon,103.7
Iowa,103.6
Utah,103.6
St Bonavent,103.4
Memphis,103.4
UNLV,103.3
Baylor,103.2
Gonzaga,103.2
Washington,103.2
E Carolina,103.0
VA Tech,103.0
Richmond,102.9
Geo Wshgtn,102.7
LA Lafayette,102.7
Oregon St,102.6
Rhode Island,102.6
WI-Milwkee,102.5
San Diego St,102.5
San Diego,102.5
Miami (OH),102.4
Butler,102.4
Ball State,102.4
Central Mich,102.4
Wash State,102.3
Wyoming,102.3
Bowling Grn,102.3
Penn State,102.2
Colorado St,102.2
Detroit,102.2
North Texas,102.2
S Florida,102.1
Tulane,102.1
S Illinois,102.1
N Illinois,102.0
W Michigan,102.0
Toledo,102.0
Kent State,102.0
W Kentucky,102.0
La Salle,101.9
Fordham,101.9
UAB,101.9
Loyola-Chi,101.8
TX Christian,101.8
Ohio,101.7
Houston,101.7
Nevada,101.7
San Fransco,101.7
Creighton,101.7
Tulsa,101.6
Air Force,101.5
Evansville,101.4
IL-Chicago,101.4
Northwestern,101.4
S Mississippi,101.3
U Mass,101.3
S Methodist,101.2
Hawaii,101.2
Missouri St,101.2
New Mexico,101.2
Marshall,101.0
Bradley,101.0
Pepperdine,101.0
S Alabama,101.0
Fresno St,100.9
Rice,100.8
Duquesne,100.7
Valparaiso,100.7
Middle Tenn,100.7
Wichita St,100.6
Indiana St,100.6
LA Tech,100.6
Illinois St,100.6
Akron,100.6
St Marys,100.5
Weber State,100.5
U Penn,100.5
E Washingtn,100.4
Murray St,100.4
E Michigan,100.4
N Mex State,100.3
N Iowa,100.3
UCSB,100.3
Cleveland St,100.2
Denver,100.2
Buffalo,100.2
Portland,100.2
Loyola Mymt,100.2
San Jose St,100.1
TN Tech,100.1
Florida Intl,100.1
Manhattan,100.1
Princeton,100.1
Wright State,100.1
Youngs St,100.0
WI-Grn Bay,100.0
UC Irvine,100.0
AR Lit Rock,100.0
Geo Mason,99.9
Drake,99.9
New Orleans,99.9
Yale,99.9
Drexel,99.8
Davidson,99.8
Arkansas St,99.7
Fairfield,99.6
NC-Wilmgton,99.6
Portland St,99.6
Col Charlestn,99.6
Austin Peay,99.6
E Tenn St,99.5
Boise State,99.5
Utah State,99.5
E Illinois,99.4
Montana,99.4
Siena,99.4
Santa Clara,99.4
Brown,99.4
Wofford,99.3
Niagara,99.3
IUPUI,99.2
App State,99.2
Boston U,99.1
Idaho State,99.0
Iona,98.9
Belmont,98.9
Pacific,98.9
UC Riverside,98.9
Morehead St,98.9
Cal Poly,98.9
VCU,98.8
Chattanooga,98.8
Montana St,98.8
TN Martin,98.7
Old Dominion,98.7
Samford,98.6
Delaware,98.6
Central FL,98.6
Canisius,98.6
Troy,98.6
Marist,98.5
CS Fullerton,98.5
Holy Cross,98.4
N Arizona,98.4
Lg Beach St,98.3
Cal St Nrdge,98.3
Idaho,98.3
Sac State,98.3
Gard-Webb,98.1
