Kansas,108.2
Michigan,108.0
Iowa,107.2
Wisconsin,107.1
Iowa State,107.1
Duke,106.9
Oklahoma,106.9
Baylor,106.9
Arizona,106.9
Villanova,106.8
Arizona St,106.8
Michigan St,106.8
Texas,106.8
Creighton,106.7
Florida St,106.7
Stanford,106.6
Syracuse,106.5
Oklahoma St,106.5
Minnesota,106.5
Xavier,106.5
Georgetown,106.5
Colorado,106.5
Kansas St,106.4
Marquette,106.3
Virginia,106.2
California,106.1
UCLA,106.1
Nebraska,106.1
N Carolina,106.1
Maryland,106.0
Texas Tech,106.0
Ohio State,106.0
W Virginia,106.0
Tennessee,106.0
Providence,105.9
Illinois,105.9
Oregon,105.8
Pittsburgh,105.8
St Johns,105.8
Utah,105.7
Kentucky,105.6
Boston Col,105.6
Florida,105.5
Indiana,105.5
NC State,105.5
Memphis,105.4
Cincinnati,105.3
Clemson,105.2
Purdue,105.2
Penn State,105.2
Butler,105.2
Alabama,105.2
Miami (FL),105.1
Notre Dame,105.0
LSU,105.0
U Mass,105.0
Washington,104.8
BYU,104.8
USC,104.8
VCU,104.8
DePaul,104.8
Connecticut,104.8
Oregon St,104.7
Seton Hall,104.6
Wake Forest,104.6
Geo Wshgtn,104.6
Arkansas,104.6
Missouri,104.6
GA Tech,104.5
Northwestern,104.5
St Josephs,104.5
Louisville,104.5
S Methodist,104.4
Vanderbilt,104.4
Dayton,104.4
Saint Louis,104.1
Mississippi,104.1
San Diego St,104.1
TX Christian,103.9
Wash State,103.8
Geo Mason,103.8
Georgia,103.8
Boise State,103.7
Temple,103.7
S Carolina,103.7
Gonzaga,103.6
Richmond,103.6
New Mexico,103.4
Rhode Island,103.4
La Salle,103.2
VA Tech,103.2
Texas A&M,103.2
San Fransco,103.0
Auburn,102.9
St Bonavent,102.9
Fresno St,102.9
St Marys,102.8
UNLV,102.5
Houston,102.5
N Iowa,102.4
Utah State,102.4
Wyoming,102.2
Pacific,102.2
Central FL,102.2
Rutgers,102.2
S Florida,102.1
Loyola Mymt,102.1
San Diego,101.9
Nevada,101.9
Portland,101.9
Pepperdine,101.8
Lg Beach St,101.8
Wichita St,101.7
Fordham,101.6
Indiana St,101.6
Colorado St,101.5
San Jose St,101.5
Illinois St,101.5
E Michigan,101.5
WI-Grn Bay,101.4
Santa Clara,101.4
Tulsa,101.4
Duquesne,101.4
Missouri St,101.2
Cleveland St,101.2
Oakland,101.2
Miss State,101.1
N Dakota St,101.1
TX El Paso,100.9
Iona,100.8
UCSB,100.8
Denver,100.8
Ohio,100.8
S Illinois,100.8
Drexel,100.8
Evansville,100.7
UC Irvine,100.7
Middle Tenn,100.7
S Mississippi,100.6
Akron,100.6
Drake,100.5
Ball State,100.5
Miami (OH),100.5
Harvard,100.5
Buffalo,100.4
Delaware,100.4
IL-Chicago,100.4
S Dakota St,100.4
Detroit,100.3
LA Tech,100.3
Toledo,100.3
Air Force,100.2
W Michigan,100.2
UAB,100.1
Valparaiso,100.1
Manhattan,100.1
Bowling Grn,100.1
Cal Poly,100.0
N Mex State,100.0
Canisius,100.0
WI-Milwkee,100.0
Yale,99.9
Youngs St,99.8
Old Dominion,99.8
Bradley,99.8
South Dakota,99.7
Northeastrn,99.7
Belmont,99.7
N Illinois,99.6
Princeton,99.6
Hawaii,99.5
Loyola-Chi,99.5
Wright State,99.5
Kent State,99.5
Columbia,99.5
LA Lafayette,99.4
Towson,99.4
Quinnipiac,99.4
Siena,99.4
Charlotte,99.4
Fla Atlantic,99.3
Boston U,99.3
Rice,99.3
Neb Omaha,99.3
North Texas,99.2
Wm & Mary,99.2
IUPUI,99.2
U Penn,99.1
NC-Wilmgton,99.1
IPFW,99.1
Niagara,99.0
AR Lit Rock,99.0
Georgia St,99.0
Cornell,99.0
LA Monroe,99.0
TX-Arlington,98.9
Marshall,98.9
S Alabama,98.8
Davidson,98.8
Fairfield,98.8
TX-San Ant,98.8
Col Charlestn,98.7
James Mad,98.7
Vermont,98.7
