Clemson,109.6
Maryland,109.4
N Carolina,108.9
Duke,108.8
GA Tech,108.3
Florida St,108.2
Purdue,107.9
Wake Forest,107.7
Kentucky,107.5
NC State,107.5
Indiana,107.4
Michigan,107.2
S Carolina,107.1
Arizona,107.0
Illinois,107.0
Michigan St,106.9
Georgia,106.9
UCLA,106.9
U Mass,106.6
Arkansas,106.4
Stanford,106.3
Vanderbilt,106.3
Virginia,106.2
Temple,106.2
Charlotte,106.1
Tennessee,106.1
Rhode Island,106.0
Mississippi,106.0
Connecticut,106.0
St Johns,106.0
Syracuse,105.9
Louisville,105.9
Iowa,105.8
Geo Wshgtn,105.7
W Virginia,105.6
Florida,105.6
Rutgers,105.6
Providence,105.6
Miami (FL),105.5
Villanova,105.5
Minnesota,105.5
Alabama,105.5
Washington,105.4
Xavier,105.3
Kansas,105.3
UNLV,105.3
Wisconsin,105.3
New Mexico,105.1
Missouri,105.1
California,105.0
Arizona St,105.0
Seton Hall,104.9
Boston Col,104.9
Cincinnati,104.8
Saint Louis,104.7
Memphis,104.7
Georgetown,104.7
Auburn,104.7
Miss State,104.6
Nebraska,104.6
Notre Dame,104.3
Penn State,104.3
Oregon,104.2
USC,104.2
UAB,104.2
DePaul,104.1
St Josephs,104.1
Marquette,104.1
Dayton,104.1
Texas,104.0
Wash State,104.0
Kansas St,103.9
Ohio State,103.8
Pittsburgh,103.8
Texas Tech,103.7
E Michigan,103.5
Oklahoma St,103.5
LSU,103.5
Oregon St,103.4
TX Christian,103.4
S Mississippi,103.3
Butler,103.3
BYU,103.2
Northwestern,103.2
St Bonavent,103.2
Colorado,103.2
Utah,103.1
W Michigan,103.1
Missouri St,103.1
Iowa State,103.1
VA Tech,103.0
Detroit,103.0
Cleveland St,103.0
Fresno St,103.0
Duquesne,103.0
Oklahoma,102.9
Baylor,102.9
Fordham,102.9
Illinois St,102.8
Colorado St,102.6
La Salle,102.6
Hawaii,102.6
Miami (OH),102.6
Wyoming,102.6
IL-Chicago,102.6
WI-Grn Bay,102.5
Bradley,102.4
Wichita St,102.4
Toledo,102.4
Tulsa,102.3
San Fransco,102.3
Gonzaga,102.3
S Florida,102.1
Ball State,102.1
S Illinois,102.1
WI-Milwkee,102.1
Wright State,102.0
Creighton,101.9
Indiana St,101.9
Santa Clara,101.8
North Texas,101.8
Air Force,101.8
Central Mich,101.7
Rice,101.6
Pepperdine,101.5
Nevada,101.4
Utah State,101.4
Akron,101.3
Idaho,101.3
Texas A&M,101.2
Tulane,101.1
St Marys,101.1
San Jose St,101.1
Ohio,101.1
Loyola-Chi,101.1
Bowling Grn,101.0
TX El Paso,101.0
San Diego St,101.0
NC-Wilmgton,101.0
Pacific,101.0
San Diego,101.0
Evansville,101.0
Houston,100.9
Kent State,100.9
S Methodist,100.9
N Iowa,100.8
Marshall,100.7
Boise State,100.7
N Mex State,100.6
Loyola-MD,100.5
Portland,100.5
Old Dominion,100.3
Niagara,100.3
Richmond,100.3
Iona,100.3
Loyola Mymt,100.2
Canisius,100.2
LIU-Brooklyn,100.0
American,100.0
Geo Mason,100.0
TX-Pan Am,100.0
LA Lafayette,100.0
Manhattan,99.9
Boston U,99.8
Fairfield,99.8
Drexel,99.7
Siena,99.7
Arkansas St,99.6
VCU,99.6
N Illinois,99.5
James Mad,99.5
Drake,99.5
UC Irvine,99.5
Wm & Mary,99.4
CS Fullerton,99.4
E Carolina,99.4
U Penn,99.4
Rider,99.3
Princeton,99.3
Montana St,99.3
Weber State,99.2
S Alabama,99.1
Portland St,99.1
UCSB,99.1
W Kentucky,99.1
LA Tech,99.1
New Orleans,99.1
Hofstra,99.0
SE Missouri,99.0
Valparaiso,98.9
St Peters,98.8
Lamar,98.8
E Illinois,98.8
Murray St,98.8
Delaware,98.7
Cal St Nrdge,98.7
Towson,98.6
Florida Intl,98.6
F Dickinson,98.5
Oral Roberts,98.5
Marist,98.4
Maine,98.4
TN State,98.4
Youngs St,98.3
AR Lit Rock,98.3
Middle Tenn,98.3
Hartford,98.3
Austin Peay,98.2
Northeastrn,98.1
Lafayette,98.1
Jacksonville,98.0
E Kentucky,98.0
Cal Poly,97.9
N Arizona,97.9
Buffalo,97.8
Montana,97.8
E Washingtn,97.8
TN Martin,97.7
Mt St Marys,97.7
Sac State,97.7
Lg Beach St,97.6
Vermont,97.6
LA Monroe,97.5
Morehead St,97.5
N Hampshire,97.3
Nicholls St,97.3
St Fran (NY),97.3
W Illinois,97.2
Bucknell,97.2
Davidson,97.2
UMKC,97.1
Colgate,97.0
Norfolk St,97.0
Chicago St,97.0
TN Tech,96.8
Navy,96.8
Monmouth,96.8
Texas State,96.7
Coppin State,96.7
NC-Asheville,96.6
