(1-0),114.3
Kentucky,108.7
Wisconsin,108.5
Michigan St,108.3
Indiana,108.0
Texas,107.7
Iowa,107.4
UCLA,107.2
Ohio State,107.1
Kansas,107.1
Purdue,107.1
N Carolina,107.1
Arizona,107.1
Illinois,107.0
Cincinnati,106.7
DePaul,106.6
Louisville,106.6
USC,106.5
Charlotte,106.5
Duke,106.4
Tennessee,106.4
Connecticut,106.4
Missouri,106.4
Penn State,106.3
Oklahoma St,106.3
Oregon,106.3
Florida,106.2
Temple,106.2
Maryland,106.2
St Johns,106.1
Minnesota,106.0
Oklahoma,105.8
Arizona St,105.7
Auburn,105.6
Wake Forest,105.6
Saint Louis,105.5
S Carolina,105.5
LSU,105.4
Iowa State,105.4
Michigan,105.2
Syracuse,105.2
Vanderbilt,105.2
Marquette,105.2
Stanford,105.1
Arkansas,105.0
Virginia,104.9
Colorado,104.8
Mississippi,104.8
Notre Dame,104.8
Alabama,104.6
Georgia,104.6
California,104.6
Washington,104.5
Florida St,104.4
NC State,104.3
Villanova,104.3
Oregon St,104.2
Ohio,104.2
Ball State,104.2
Miami (OH),104.2
U Mass,104.1
St Josephs,104.1
Seton Hall,104.1
Miss State,104.0
Xavier,104.0
Miami (FL),104.0
Toledo,104.0
St Bonavent,103.9
Kent State,103.9
Gonzaga,103.8
S Illinois,103.8
Geo Wshgtn,103.8
Kansas St,103.7
Memphis,103.7
Houston,103.5
Utah,103.5
GA Tech,103.4
S Florida,103.4
S Mississippi,103.4
Bowling Grn,103.4
Dayton,103.3
Rutgers,103.3
Georgetown,103.3
Rhode Island,103.2
Missouri St,103.2
Akron,103.1
Bradley,103.1
W Virginia,103.1
Creighton,103.1
Tulane,103.0
Indiana St,103.0
Colorado St,103.0
S Methodist,103.0
UAB,102.9
Fresno St,102.9
Fordham,102.9
Texas Tech,102.8
Pepperdine,102.8
Nebraska,102.8
BYU,102.8
Wash State,102.7
Boston Col,102.7
N Illinois,102.7
E Michigan,102.7
New Mexico,102.7
Pittsburgh,102.6
Central Mich,102.6
Wyoming,102.6
UNLV,102.5
Tulsa,102.5
Marshall,102.4
San Jose St,102.4
Santa Clara,102.4
TX Christian,102.3
La Salle,102.3
W Michigan,102.3
TX El Paso,102.1
Texas A&M,102.0
Clemson,102.0
VA Tech,102.0
Baylor,102.0
Northwestern,102.0
San Diego,101.8
Providence,101.8
N Iowa,101.8
WI-Milwkee,101.7
Illinois St,101.7
Evansville,101.6
Utah State,101.6
Hawaii,101.6
Drake,101.5
N Arizona,101.4
N Mex State,101.3
Wichita St,101.2
Detroit,101.2
Rice,101.2
San Fransco,101.1
E Washingtn,101.1
WI-Grn Bay,101.0
Cleveland St,101.0
Butler,100.9
Duquesne,100.8
Buffalo,100.7
Cal St Nrdge,100.7
Weber State,100.5
Montana,100.5
NC-Wilmgton,100.4
Richmond,100.4
Murray St,100.3
IL-Chicago,100.3
Air Force,100.2
Idaho,100.1
E Illinois,100.1
Loyola Mymt,99.9
Idaho State,99.9
U Penn,99.8
Boise State,99.8
UCSB,99.8
San Diego St,99.8
Geo Mason,99.8
Princeton,99.7
Lg Beach St,99.7
LA Lafayette,99.7
Montana St,99.7
North Texas,99.7
Portland St,99.6
Wright State,99.6
TN Martin,99.6
Portland,99.6
Austin Peay,99.5
LA Tech,99.4
Arkansas St,99.3
SE Missouri,99.3
Nevada,99.3
St Marys,99.2
App State,99.2
Wm & Mary,99.2
VCU,99.2
S Alabama,99.2
W Kentucky,99.1
Middle Tenn,99.1
TN Tech,99.0
Old Dominion,99.0
Sac State,99.0
Loyola-Chi,98.9
Davidson,98.9
Florida Intl,98.8
E Carolina,98.7
Cal Poly,98.6
James Mad,98.6
Fairfield,98.5
Sam Hous St,98.5
Pacific,98.5
Oakland,98.4
E Kentucky,98.4
Morehead St,98.3
TN State,98.3
Iona,98.2
UC Irvine,98.2
American,98.1
New Orleans,98.1
Hofstra,98.0
TX-Pan Am,98.0
Denver,97.9
VA Military,97.9
(6-17),97.8
CS Fullerton,97.8
LA Monroe,97.7
Wofford,97.7
TX-San Ant,97.7
Lamar,97.6
Belmont,97.5
S Utah,97.4
Valparaiso,97.4
Siena,97.4
NW State,97.4
Texas State,97.3
AR Lit Rock,97.3
Stony Brook,97.2
Chattanooga,97.2
Nicholls St,97.2
Youngs St,97.1
Oral Roberts,97.1
W Illinois,97.1
Samford,97.1
McNeese St,97.1
Furman,97.1
Chicago St,97.1
Niagara,97.1
IUPUI,97.0
NC-Grnsboro,97.0
Col Charlestn,97.0
TX-Arlington,97.0
W Carolina,97.0
UMKC,96.9
E Tenn St,96.9
NC-Asheville,96.8
GA Southern,96.8
Marist,96.7
Radford,96.7
TX A&M-CC,96.7
Bucknell,96.7
Lafayette,96.6
Canisius,96.6
Georgia St,96.6
Ste F Austin,96.6
Delaware,96.5
SE Louisiana,96.5
Fla Atlantic,96.4
Manhattan,96.3
Rider,96.3
Rob Morris,96.3
Drexel,96.2
Winthrop,96.2
Citadel,96.2
St Fran (NY),96.1
Central FL,96.1
Lehigh,95.9
St Peters,95.9
Mercer,95.8
Elon,95.8
F Dickinson,95.7
Navy,95.7
Coastal Car,95.7
Maine,95.6
Maryland BC,95.6
High Point,95.5
Charl South,95.5
Troy,95.5
Colgate,95.5
Vermont,95.5
Loyola-MD,95.3
Army,95.2
Boston U,95.2
Central Conn,95.1
Campbell,95.0
Liberty,95.0
Quinnipiac,94.9
Towson,94.9
Mt St Marys,94.9
St Fran (PA),94.8
Jksnville St,94.8
Monmouth,94.8
Albany,94.8
Beth-Cook,94.8
Alcorn State,94.7
LIU-Brooklyn,94.6
Sacred Hrt,94.6
Northeastrn,94.6
Holy Cross,94.5
N Hampshire,94.5
Wagner,94.4
Jacksonville,94.4
Columbia,94.3
Hartford,94.2
Stetson,94.2
Hampton,94.2
Yale,94.1
Harvard,94.0
Jackson St,93.9
Miss Val St,93.8
Dartmouth,93.7
Brown,93.7
Alab A&M,93.4
S Car State,93.4
TX Southern,93.4
Cornell,93.3
Coppin State,93.3
NC A&T,93.3
Grambling St,93.0
Southern,93.0
Ark Pine Bl,92.8
Prairie View,92.8
Howard,92.7
Alabama St,92.6
Norfolk St,92.2
Florida A&M,92.2
Morgan St,91.9
Delaware St,91.6
Maryland ES,91.5
