,Team,RPI
0,North Carolina,0.6769
1,Kentucky,0.6608
2,Connecticut,0.6543
3,Maryland,0.6387
4,South Carolina,0.6327
5,Michigan,0.6276
6,UCLA,0.6178
7,Michigan State,0.6139
8,Syracuse,0.6135
9,TCU,0.6065
10,Princeton,0.6005
11,Xavier,0.5982
12,Indepenedent,0.5974
13,Illinois,0.5968
14,Illinois-Chicago,0.5961
15,Charlotte,0.5953
16,Illinois State,0.5919
17,Wake Forest,0.5874
18,Nebraska,0.5848
19,Florida State,0.5822
20,Washington,0.5759
21,Murray State,0.5730
22,Hawaii,0.5727
23,Saint Louis,0.5703
24,Miami (Fla.),0.5697
25,Oklahoma,0.5665
26,Missouri,0.5651
27,North Carolina State,0.5600
28,South Alabama,0.5600
29,Dayton,0.5594
30,UAB,0.5586
31,Auburn,0.5577
32,Southern Miss,0.5577
33,Marquette,0.5542
34,Richmond,0.5524
35,Florida,0.5511
36,Iowa,0.5493
37,NC-Wilmington,0.5474
38,Providence,0.5454
39,Minnesota,0.5437
40,College of Charleston,0.5427
41,Valparaiso,0.5398
42,Villanova,0.5381
43,Florida International,0.5375
44,Louisville,0.5361
45,Virginia,0.5358
46,Seton Hall,0.5349
47,Notre Dame,0.5332
48,Green Bay,0.5330
49,San Francisco,0.5315
50,Texas Tech,0.5305
51,Wisconsin,0.5273
52,Coppin State,0.5255
53,Appalachian State,0.5248
54,Oregon,0.5243
55,Texas,0.5232
56,Miami (Ohio),0.5220
57,Pepperdine,0.5210
58,Georgetown,0.5198
59,Boston College,0.5186
60,Siena,0.5180
61,Wichita State,0.5176
62,Cleveland State,0.5158
63,California,0.5143
64,Pittsburgh,0.5131
65,Nevada,0.5124
66,NC-Asheville,0.5114
67,Akron,0.5091
68,Middle Tennessee,0.5079
69,Youngstown State,0.5052
70,Virginia Tech,0.5025
71,Lafayette,0.5015
72,Duquesne,0.5002
73,Montana State,0.4994
74,New Mexico State,0.4986
75,Eastern Illinois,0.4974
76,New Orleans,0.4932
77,Hartford,0.4928
78,Drexel,0.4925
79,Austin Peay,0.4913
80,LSU,0.4898
81,Boise State,0.4889
82,Eastern Washington,0.4873
83,Brigham Young,0.4868
84,Loyola-Maryland,0.4831
85,Navy,0.4814
86,Fairfield,0.4808
87,Louisiana Tech,0.4799
88,Vermont,0.4797
89,Southern California,0.4795
90,Radford,0.4783
91,Oregon State,0.4772
92,Louisiana-Monroe,0.4757
93,Portland,0.4755
94,Evansville,0.4743
95,Montana,0.4699
96,Buffalo,0.4685
97,Georgia State,0.4658
98,James Madison,0.4645
99,Mount St. Mary's,0.4618
100,Marist,0.4603
101,Cal State Fullerton,0.4600
102,Western Kentucky,0.4597
103,George Mason,0.4593
104,Harvard,0.4581
105,Marshall,0.4568
106,Hampton,0.4556
107,Texas-San Antonio,0.4527
108,Yale,0.4520
109,Fordham,0.4506
110,The Citadel,0.4494
111,VMI,0.4475
112,Houston,0.4465
113,Jackson State,0.4444
114,NC-Greensboro,0.4431
115,New Hampshire,0.4421
116,North Texas,0.4417
117,Texas A&M;,0.4406
118,Stetson,0.4390
119,Towson,0.4375
120,Cal State Northridge,0.4354
121,St. Peter's,0.4346
122,Virginia Commonwealth,0.4330
123,Western Carolina,0.4299
124,Long Beach State,0.4270
125,Ohio,0.4262
126,Central Michigan,0.4219
127,Loyola Marymount,0.4198
128,Texas-Pan American,0.4195
129,Florida Atlantic,0.4165
130,Prairie View A&M;,0.4155
131,Lehigh,0.4147
132,E. Tennessee State,0.4134
133,Alcorn State,0.4123
134,Tennessee Tech,0.4102
135,Santa Barbara,0.4064
136,Georgia Southern,0.4045
137,Maryland-Eastern Shore,0.4032
138,Tennessee-Martin,0.4017
139,North Carolina A&T;,0.3999
140,Liberty,0.3981
141,Army,0.3905
142,Monmouth,0.3900
143,Alabama State,0.3896
144,Furman,0.3874
145,Drake,0.3825
146,Central Connecticut State,0.3813
147,Morehead State,0.3793
148,Troy,0.3751
149,Charleston Southern,0.3562
150,Chicago State,0.3525
151,Bethune-Cookman,0.3472
152,Duke,0.6687
153,Kansas,0.6586
154,Arizona,0.6517
155,Purdue,0.6345
156,Stanford,0.6325
157,Mississippi,0.6217
158,New Mexico,0.6157
159,Cincinnati,0.6137
