,Team,RPI
238,Long Beach State,0.4949
239,Radford,0.4941
240,Illinois-Chicago,0.4931
241,Washington State,0.4914
242,Clemson,0.4903
243,E. Tennessee State,0.4886
244,Louisiana Tech,0.4884
245,Arkansas State,0.4875
246,Youngstown State,0.4865
247,Texas A&M;,0.4857
248,Weber State,0.4845
249,Texas Tech,0.4837
250,Southeast Missouri State,0.4833
251,Boston University,0.4819
252,Winthrop,0.4812
253,Akron,0.4793
254,Jacksonville,0.4782
255,Brown,0.4777
256,Santa Barbara,0.4764
257,James Madison,0.4763
258,Stetson,0.4731
259,Alabama A&M;,0.4696
260,Nevada,0.4693
261,Stony Brook,0.4676
262,UMKC,0.4665
263,Coppin State,0.4656
264,Houston,0.4637
265,Northeastern,0.4635
266,William &amp; Mary,0.4629
267,Fairfield,0.4615
268,Vermont,0.4610
269,Fairleigh Dickinson,0.4587
270,Duquesne,0.4581
271,Bucknell,0.4546
272,Harvard,0.4543
273,Morehead State,0.4533
274,Tulane,0.4508
275,Rhode Island,0.4477
276,Towson,0.4457
277,Louisiana-Monroe,0.4447
278,Lehigh,0.4433
279,Loyola-Chicago,0.4403
280,Central Connecticut State,0.4394
281,North Carolina A&T;,0.4384
282,Portland,0.4371
283,Tennessee-Martin,0.4357
284,Florida International,0.4342
285,American,0.4319
286,Columbia,0.4292
287,Oral Roberts,0.4280
288,Montana,0.4275
289,New Hampshire,0.4263
290,Appalachian State,0.4251
291,Loyola Marymount,0.4240
292,St. Francis (Pa.),0.4227
293,Belmont,0.4214
294,UCF,0.4207
295,Howard,0.4145
296,Buffalo,0.4123
297,Southern,0.4101
298,Liberty,0.4092
299,Lamar,0.4085
300,Grambling,0.4074
301,Texas-Pan American,0.4062
302,Sacred Heart,0.4055
303,Army,0.4042
304,Northern Illinois,0.4012
305,Jackson State,0.3982
306,Western Carolina,0.3966
307,VMI,0.3945
308,Eastern Kentucky,0.3936
309,Dartmouth,0.3922
310,Texas Southern,0.3910
311,Morgan State,0.3888
312,Eastern Michigan,0.3854
313,Cornell,0.3843
314,Quinnipiac,0.3811
315,St. Mary's,0.3778
316,Albany,0.3734
317,Arkansas-Pine Bluff,0.3616
