,Team,RPI
0,Duke,0.6841
1,Connecticut,0.6509
2,Ohio State,0.6400
3,Iowa,0.6312
4,Gonzaga,0.6253
5,Pittsburgh,0.6230
6,LSU,0.6216
7,Florida,0.6130
8,Syracuse,0.6107
9,Nevada,0.6064
10,Missouri State,0.6030
11,Arizona,0.6016
12,Northern Iowa,0.5990
13,Wichita State,0.5983
14,Southern Illinois,0.5980
15,Marquette,0.5962
16,Bradley,0.5934
17,Washington,0.5922
18,George Washington,0.5918
19,Creighton,0.5906
20,Kentucky,0.5890
21,Saint Joseph's,0.5862
22,Arkansas,0.5829
23,Michigan,0.5807
24,Maryland,0.5799
25,North Carolina State,0.5790
26,Wisconsin-Milwaukee,0.5774
27,Western Kentucky,0.5766
28,Alabama,0.5748
29,Colorado,0.5716
30,Montana,0.5684
31,Florida State,0.5658
32,Murray State,0.5644
33,Brigham Young,0.5638
34,Old Dominion,0.5618
35,Louisville,0.5585
36,Winthrop,0.5577
37,Rutgers,0.5545
38,Clemson,0.5520
39,Virginia,0.5516
40,Virginia Commonwealth,0.5508
41,Minnesota,0.5504
42,Wake Forest,0.5474
43,Manhattan,0.5456
44,Oklahoma State,0.5448
45,DePaul,0.5421
46,Iowa State,0.5418
47,Notre Dame,0.5403
48,New Mexico State,0.5391
49,Ohio,0.5384
50,Saint Louis,0.5364
51,La Salle,0.5353
52,Marist,0.5345
53,Samford,0.5338
54,Georgia,0.5327
55,Holy Cross,0.5304
56,Mississippi State,0.5281
57,Belmont,0.5271
58,Northern Arizona,0.5243
59,Albany,0.5228
60,Coastal Carolina,0.5217
61,Delaware State,0.5211
62,Siena,0.5208
63,Northern Illinois,0.5204
64,Drexel,0.5190
65,Oral Roberts,0.5185
66,Illinois-Chicago,0.5163
67,Tennessee Tech,0.5138
68,St. John's,0.5127
69,Missouri,0.5111
70,San Diego,0.5106
71,Lipscomb,0.5100
72,Fairleigh Dickinson,0.5087
73,Oregon,0.5075
74,Loyola Marymount,0.5066
75,Colorado State,0.5046
76,Long Beach State,0.5020
77,Austin Peay,0.5008
78,Gardner-Webb,0.5004
79,Georgia Southern,0.4993
80,Utah,0.4986
81,High Point,0.4953
82,Washington State,0.4942
83,California Irvine,0.4934
84,Wyoming,0.4922
85,Elon,0.4895
86,Oregon State,0.4892
87,Drake,0.4881
88,Detroit,0.4872
89,Arizona State,0.4865
90,Valparaiso,0.4846
91,Santa Clara,0.4831
92,Green Bay,0.4809
93,College of Charleston,0.4802
94,UCF,0.4780
95,Lamar,0.4763
96,Eastern Kentucky,0.4753
97,Portland State,0.4737
98,Texas-Arlington,0.4722
99,North Texas,0.4716
100,Niagara,0.4714
101,McNeese State,0.4710
102,American,0.4707
103,Tennessee State,0.4692
104,Idaho State,0.4679
105,Florida Atlantic,0.4675
106,Harvard,0.4671
107,Arkansas-Little Rock,0.4660
108,Rice,0.4658
109,Furman,0.4654
110,South Carolina State,0.4640
111,Tennessee-Martin,0.4627
112,Charleston Southern,0.4621
113,Fairfield,0.4613
114,Mount St. Mary's,0.4598
115,Wagner,0.4595
116,Cal State Fullerton,0.4592
117,South Florida,0.4570
118,Portland,0.4553
119,Montana State,0.4548
120,Troy,0.4539
121,Georgia State,0.4531
122,Southern Miss,0.4517
123,Pepperdine,0.4503
124,New Hampshire,0.4497
125,New Orleans,0.4486
126,Ball State,0.4477
127,Bowling Green,0.4474
128,Alabama A&M;,0.4462
129,Quinnipiac,0.4454
130,Sacred Heart,0.4426
