,Team,RPI
236,Bucknell,0.5216
237,Georgia Tech,0.5213
238,Loyola-Chicago,0.5210
239,Oakland,0.5199
240,Nebraska,0.5195
241,Rider,0.5188
242,Belmont,0.5177
243,Radford,0.5171
244,Charleston Southern,0.5164
245,Texas Southern,0.5154
246,Incarnate Word,0.5140
247,San Diego,0.5135
248,Pepperdine,0.5128
249,American,0.5124
250,Coastal Carolina,0.5105
251,Washington State,0.5096
252,Portland,0.5076
253,UL Lafayette,0.5075
254,Gardner-Webb,0.5070
255,Rutgers,0.5059
256,Auburn,0.5053
257,New Jersey Tech,0.5046
258,UAB,0.5032
259,New Mexico,0.5021
260,DePaul,0.5015
261,Saint Joseph's,0.5010
262,Lehigh,0.4998
263,Indiana State,0.4994
264,Texas Tech,0.4978
265,Northern Arizona,0.4969
266,St. Francis (Pa.),0.4961
267,Fresno State,0.4947
268,Bryant University,0.4942
269,Mount St. Mary's,0.4935
270,Middle Tennessee,0.4924
271,Manhattan,0.4922
272,Monmouth,0.4914
273,Vermont,0.4884
274,Detroit,0.4879
275,Missouri,0.4867
276,Mercer,0.4858
277,Charlotte,0.4853
278,Morehead State,0.4842
279,Tulane,0.4837
280,Princeton,0.4824
281,North Texas,0.4814
282,IPFW,0.4813
283,Cornell,0.4774
284,California Riverside,0.4766
285,Miami (Ohio),0.4760
286,East Carolina,0.4721
287,Duquesne,0.4708
288,Florida International,0.4682
289,Quinnipiac,0.4681
290,Ohio,0.4666
291,Portland State,0.4661
292,Army,0.4649
293,Western Carolina,0.4638
294,Northern Colorado,0.4623
295,Missouri State,0.4619
296,St. Peter's,0.4605
297,Idaho,0.4600
298,Texas State-San Marcos,0.4596
299,Howard,0.4579
300,NC-Asheville,0.4570
301,Delaware,0.4562
302,Air Force,0.4560
303,Southern,0.4552
304,Weber State,0.4536
305,Elon,0.4527
306,Wright State,0.4525
307,Drake,0.4514
308,Rice,0.4510
309,Siena,0.4500
310,Loyola-Maryland,0.4495
311,Alabama State,0.4490
312,Ball State,0.4441
313,McNeese State,0.4432
314,Southern Illinois,0.4395
315,Grand Canyon,0.4393
316,Southeast Missouri State,0.4381
317,Niagara,0.4355
318,Marshall,0.4345
319,Bradley,0.4337
320,Southern Miss,0.4333
321,Youngstown State,0.4308
322,Wagner,0.4302
323,Florida Atlantic,0.4278
324,Houston Baptist,0.4264
325,Fairfield,0.4256
326,Nevada,0.4249
327,Jacksonville State,0.4235
328,Utah Valley,0.4210
329,Arkansas-Pine Bluff,0.4179
330,Fairleigh Dickinson,0.4145
331,Austin Peay,0.4119
332,Marist,0.4099
333,Jackson State,0.4093
334,Coppin State,0.4087
335,Campbell,0.4070
336,Southeastern Louisiana,0.4058
337,Montana State,0.4044
338,Furman,0.4037
339,Longwood,0.4024
340,Savannah State,0.3966
341,Binghamton,0.3913
342,Texas-Pan American,0.3883
343,Stetson,0.3846
344,Jacksonville,0.3828
345,Maine,0.3808
346,Central Connecticut State,0.3742
347,Mississippi Valley State,0.3714
348,Idaho State,0.3661
349,Alcorn State,0.3461
350,Florida A&M;,0.3255
