,Team,RPI
0,Kentucky,0.6596
1,Oklahoma,0.6471
2,Georgia,0.6352
3,Wake Forest,0.6298
4,Syracuse,0.6291
5,Louisville,0.6270
6,Dayton,0.6212
7,Florida,0.6179
8,Missouri,0.6137
9,Brigham Young,0.6127
10,Stanford,0.6123
11,Creighton,0.6062
12,Wisconsin,0.6014
13,Saint Joseph's,0.5944
14,Cincinnati,0.5920
15,Michigan State,0.5886
16,California,0.5872
17,Butler,0.5865
18,Maryland,0.5853
19,LSU,0.5817
20,Weber State,0.5805
21,Gonzaga,0.5796
22,Wisconsin-Milwaukee,0.5780
23,Indepenedent,0.5775
24,Boston College,0.5763
25,NC-Wilmington,0.5733
26,North Carolina State,0.5693
27,Manhattan,0.5685
28,Saint Louis,0.5653
29,Pennsylvania,0.5640
30,Holy Cross,0.5628
31,Wyoming,0.5609
32,Michigan,0.5582
33,College of Charleston,0.5525
34,Fresno State,0.5522
35,Minnesota,0.5504
36,Austin Peay,0.5501
37,Colorado State,0.5484
38,Kent State,0.5477
39,Utah State,0.5450
40,Florida State,0.5434
41,Fairfield,0.5428
42,Rhode Island,0.5412
43,Drexel,0.5408
44,South Carolina,0.5401
45,Sam Houston State,0.5381
46,Richmond,0.5364
47,Charlotte,0.5340
48,Rice,0.5328
49,San Diego State,0.5327
50,Mississippi,0.5322
51,Wagner,0.5310
52,Mercer,0.5301
53,Clemson,0.5285
54,Siena,0.5257
55,Southern California,0.5250
56,Eastern Washington,0.5242
57,Detroit,0.5238
58,Northern Illinois,0.5231
59,Missouri State,0.5226
60,Boston University,0.5215
61,Southern Methodist,0.5212
62,E. Tennessee State,0.5200
63,South Florida,0.5194
64,Rutgers,0.5172
65,Morehead State,0.5163
66,Santa Barbara,0.5156
67,Murray State,0.5109
68,Ball State,0.5103
69,St. Mary's,0.5095
70,Ohio,0.5076
71,Belmont,0.5068
72,Middle Tennessee,0.5063
73,Princeton,0.5062
74,Southern Miss,0.5058
75,South Alabama,0.5042
76,Iona,0.5034
77,Davidson,0.5025
78,Oregon State,0.5003
79,Loyola-Chicago,0.4991
80,Washington,0.4981
81,Yale,0.4962
82,Hartford,0.4957
83,Toledo,0.4942
84,Northwestern,0.4933
85,Bowling Green,0.4911
86,Denver,0.4902
87,Idaho State,0.4898
88,Louisiana Tech,0.4882
89,New Orleans,0.4880
90,McNeese State,0.4868
91,Winthrop,0.4863
92,Eastern Illinois,0.4851
93,Hampton,0.4841
94,Quinnipiac,0.4827
95,Bradley,0.4814
96,Florida A&M;,0.4810
97,Marshall,0.4802
98,Texas State-San Marcos,0.4800
99,Virginia Tech,0.4792
100,Penn State,0.4783
101,Samford,0.4748
102,Pacific,0.4728
103,Santa Clara,0.4711
104,Montana,0.4705
