,Team,RPI
238,Georgia State,0.4963
239,Washington,0.4961
240,Georgia,0.4947
241,Quinnipiac,0.4927
242,Clemson,0.4907
243,Middle Tennessee,0.4900
244,Northern Illinois,0.4888
245,Georgia Southern,0.4866
246,William &amp; Mary,0.4838
247,Rider,0.4821
248,Texas-San Antonio,0.4807
249,Houston,0.4805
250,Wichita State,0.4799
251,Boise State,0.4767
252,Alcorn State,0.4751
253,Drake,0.4719
254,Texas-Arlington,0.4716
255,Texas A&M;,0.4713
256,Drexel,0.4709
257,Loyola-Chicago,0.4673
258,Coppin State,0.4663
259,Western Kentucky,0.4655
260,Alabama A&M;,0.4631
261,UCF,0.4620
262,Monmouth,0.4612
263,South Carolina State,0.4604
264,Duquesne,0.4600
265,E. Tennessee State,0.4586
266,Wofford,0.4572
267,UMKC,0.4567
268,Jackson State,0.4550
269,Montana State,0.4536
270,Canisius,0.4523
271,Washington State,0.4519
272,Campbell,0.4498
273,Western Carolina,0.4494
274,Hartford,0.4481
275,Towson,0.4476
276,Old Dominion,0.4470
277,Columbia,0.4470
278,Colgate,0.4466
279,Chattanooga,0.4459
280,Furman,0.4430
281,Texas State-San Marcos,0.4413
282,Youngstown State,0.4405
283,Idaho State,0.4386
284,Coastal Carolina,0.4376
285,Cal Poly,0.4351
286,Liberty,0.4346
287,Oral Roberts,0.4333
288,Southeastern Louisiana,0.4322
289,Stony Brook,0.4316
290,San Diego State,0.4314
291,Portland,0.4294
292,Texas Southern,0.4272
293,Stetson,0.4261
294,Tennessee State,0.4189
295,Chicago State,0.4174
296,Belmont,0.4171
297,High Point,0.4161
298,Holy Cross,0.4130
299,McNeese State,0.4126
300,Cornell,0.4123
301,Morehead State,0.4118
302,Mississippi Valley State,0.4084
303,St. Peter's,0.4062
304,Dartmouth,0.4047
305,Northeastern,0.4008
306,The Citadel,0.3975
307,Charleston Southern,0.3967
308,Yale,0.3955
309,Arkansas-Little Rock,0.3922
310,Stephen F. Austin,0.3875
311,Army,0.3834
312,VMI,0.3800
313,Delaware State,0.3764
314,Morgan State,0.3730
315,Prairie View A&M;,0.3711
316,Howard,0.3611
