,Team,RPI
0,Tennessee,0.6759
1,Memphis,0.6644
2,Kansas,0.6510
3,Duke,0.6474
4,Xavier,0.6344
5,Wisconsin,0.6282
6,Louisville,0.6223
7,Pittsburgh,0.6160
8,Butler,0.6120
9,Clemson,0.6090
10,Kent State,0.6050
11,Washington State,0.6020
12,Brigham Young,0.6018
13,Oklahoma,0.5941
14,West Virginia,0.5924
15,Arkansas,0.5918
16,Illinois State,0.5894
17,Davidson,0.5875
18,Arizona,0.5867
19,Western Kentucky,0.5823
20,Texas A&M;,0.5808
21,Baylor,0.5784
22,Purdue,0.5774
23,Temple,0.5750
24,Ohio State,0.5732
25,Villanova,0.5725
26,Oral Roberts,0.5712
27,Syracuse,0.5702
28,Kentucky,0.5674
29,New Mexico,0.5650
30,George Mason,0.5642
31,Cleveland State,0.5599
32,Cornell,0.5583
33,Georgia Tech,0.5566
34,IUPUI,0.5545
35,Florida,0.5541
36,Nevada,0.5535
37,Akron,0.5529
38,Rhode Island,0.5524
39,Belmont,0.5517
40,Houston,0.5510
41,Arizona State,0.5496
42,Maryland,0.5488
43,Boise State,0.5470
44,Santa Barbara,0.5459
45,American,0.5441
46,Tulsa,0.5419
47,Utah,0.5413
48,Valparaiso,0.5387
49,Sam Houston State,0.5382
50,Minnesota,0.5372
51,North Carolina State,0.5353
52,Bradley,0.5335
53,Southern Miss,0.5313
54,Rider,0.5309
55,Cal State Northridge,0.5308
56,Seton Hall,0.5300
57,Marist,0.5290
58,Missouri,0.5279
59,Western Michigan,0.5271
60,Washington,0.5251
61,Missouri State,0.5245
62,NC-Greensboro,0.5233
63,Virginia,0.5230
64,Old Dominion,0.5221
65,Northern Iowa,0.5220
66,Boston College,0.5217
67,Robert Morris,0.5210
68,Saint Louis,0.5198
69,Northern Arizona,0.5183
70,Loyola-Maryland,0.5167
71,NC-Asheville,0.5156
72,E. Tennessee State,0.5152
73,Texas-Arlington,0.5127
74,Holy Cross,0.5107
75,Lamar,0.5085
76,Auburn,0.5070
77,William &amp; Mary,0.5065
78,Penn State,0.5061
79,Mount St. Mary's,0.5048
80,Colorado,0.5034
81,La Salle,0.5026
82,Sacred Heart,0.5001
83,Air Force,0.4978
84,Oakland,0.4973
85,Colgate,0.4965
86,Michigan,0.4963
87,Lafayette,0.4953
88,Hartford,0.4936
89,South Florida,0.4930
90,Delaware,0.4929
91,Yale,0.4896
92,George Washington,0.4848
93,Toledo,0.4821
94,Quinnipiac,0.4793
95,Vermont,0.4787
96,Weber State,0.4785
97,Wofford,0.4774
98,Southeastern Louisiana,0.4763
99,Wichita State,0.4757
100,Bowling Green,0.4741
101,Bucknell,0.4732
102,Alabama State,0.4727
103,Delaware State,0.4720
104,Tennessee-Martin,0.4706
105,Rutgers,0.4692
106,Chicago State,0.4683
107,James Madison,0.4666
108,Tennessee State,0.4662
109,Wyoming,0.4648
110,Texas-San Antonio,0.4638
111,Mississippi Valley State,0.4633
112,Iona,0.4631
113,Youngstown State,0.4628
114,Montana,0.4621
115,High Point,0.4606
116,Florida Atlantic,0.4604
117,Towson,0.4600
118,Eastern Michigan,0.4591
119,Southern Utah,0.4581
120,Drexel,0.4577
121,Fresno State,0.4561
122,Lehigh,0.4560
123,Binghamton,0.4541
124,Texas State-San Marcos,0.4516
125,Evansville,0.4481
126,Eastern Kentucky,0.4473
127,East Carolina,0.4463
128,Stetson,0.4454
129,Norfolk State,0.4445
130,Pennsylvania,0.4437
131,Florida International,0.4423
132,Colorado State,0.4399
133,Western Illinois,0.4375
134,Oregon State,0.4367
135,Hawaii,0.4362
136,San Francisco,0.4358
137,VMI,0.4340
138,Northern Colorado,0.4322
139,North Carolina Central,0.4314
140,Central Arkansas,0.4305
141,Georgia State,0.4286
142,Eastern Washington,0.4271
143,UMKC,0.4250
144,Arkansas State,0.4240
145,Southeast Missouri State,0.4198
146,Alabama A&M;,0.4196
147,Northern Illinois,0.4190
148,Portland,0.4163
149,Dartmouth,0.4150
150,Rice,0.4123
151,Furman,0.4111
152,South Carolina Upstate,0.4091
153,Loyola Marymount,0.4071
154,Arkansas-Pine Bluff,0.4055
155,St. Francis (N.Y.),0.4018
156,St. Peter's,0.4001
157,Cal State Bakersfield,0.3991
158,Bethune-Cookman,0.3946
159,Prairie View A&M;,0.3931
160,Long Beach State,0.3910
161,Stony Brook,0.3894
162,Maine,0.3877
163,Louisiana Tech,0.3867
164,Princeton,0.3834
165,Presbyterian,0.3805
166,Sacramento State,0.3642
167,Eastern Illinois,0.3619
168,Jacksonville State,0.3528
169,New Jersey Tech,0.3259
170,North Carolina,0.6758
171,UCLA,0.6532
172,Texas,0.6497
173,Georgetown,0.6424
174,Drake,0.6283
175,Vanderbilt,0.6245
176,Stanford,0.6171
177,Michigan State,0.6145
178,Connecticut,0.6106
