,Team,RPI
0,Duke,0.6664
1,Saint Joseph's,0.6587
2,Connecticut,0.6400
3,Stanford,0.6368
4,Gonzaga,0.6316
5,Cincinnati,0.6311
6,Florida,0.6257
7,Kansas,0.6216
8,North Carolina State,0.6194
9,North Carolina,0.6146
10,Providence,0.6121
11,Illinois,0.6103
12,Southern Illinois,0.6076
13,Vanderbilt,0.6058
14,Nevada,0.6013
15,Brigham Young,0.5973
16,UAB,0.5959
17,Xavier,0.5927
18,DePaul,0.5888
19,Michigan State,0.5877
20,Arizona,0.5852
21,Utah State,0.5840
22,South Carolina,0.5822
23,Richmond,0.5773
24,Notre Dame,0.5772
25,Missouri,0.5758
26,Florida State,0.5702
27,Michigan,0.5669
28,Colorado,0.5665
29,Northern Iowa,0.5652
30,E. Tennessee State,0.5645
31,Rice,0.5645
32,Pacific,0.5640
33,Villanova,0.5629
34,Iowa State,0.5619
35,Louisiana-Lafayette,0.5581
36,Hawaii,0.5563
37,Wisconsin-Milwaukee,0.5555
38,Creighton,0.5545
39,Auburn,0.5518
40,George Mason,0.5509
41,Marquette,0.5495
42,Belmont,0.5471
43,Illinois-Chicago,0.5463
44,Oregon,0.5448
45,Toledo,0.5396
46,Miami (Ohio),0.5385
47,Mississippi,0.5377
48,West Virginia,0.5361
49,Old Dominion,0.5356
50,Drexel,0.5348
51,St. Peter's,0.5292
52,Northwestern,0.5287
53,Purdue,0.5271
54,California,0.5264
55,Arkansas,0.5262
56,Georgia State,0.5245
57,Vermont,0.5220
58,San Diego State,0.5198
59,San Francisco,0.5184
60,Princeton,0.5170
61,Southern Miss,0.5164
62,Fairfield,0.5149
63,Eastern Washington,0.5129
64,Pepperdine,0.5114
65,New Orleans,0.5109
66,UCLA,0.5105
67,NC-Wilmington,0.5086
68,Green Bay,0.5079
69,Valparaiso,0.5067
70,IUPUI,0.5054
71,Georgia Southern,0.5052
72,New Mexico,0.5032
73,Ohio State,0.5011
74,Washington State,0.4999
75,East Carolina,0.4983
76,Santa Barbara,0.4977
77,Maine,0.4964
78,Oral Roberts,0.4935
79,American,0.4919
80,Duquesne,0.4905
81,Fairleigh Dickinson,0.4901
82,Butler,0.4895
83,Oregon State,0.4883
84,Southern Methodist,0.4873
85,Stephen F. Austin,0.4869
86,Massachusetts,0.4859
87,Morehead State,0.4850
88,Weber State,0.4838
89,Loyola Marymount,0.4831
90,Arkansas-Little Rock,0.4827
91,Texas A&amp;M-Corpus; Christi,0.4816
92,Houston,0.4815
93,Penn State,0.4800
94,South Alabama,0.4798
95,Portland,0.4794
96,Furman,0.4787
97,Tulsa,0.4749
98,Bowling Green,0.4743
99,Akron,0.4737
100,Iona,0.4726
101,Texas-Arlington,0.4698
102,Central Connecticut State,0.4690
103,Brown,0.4688
104,Fordham,0.4661
105,Baylor,0.4656
106,Eastern Kentucky,0.4636
107,Robert Morris,0.4634
108,Wagner,0.4607
