,Team,RPI
0,Kansas,0.6878
1,Duke,0.6637
2,Syracuse,0.6513
3,Georgetown,0.6353
4,Baylor,0.6334
5,Villanova,0.6271
6,Texas A&M;,0.6259
7,Pittsburgh,0.6256
8,Northern Iowa,0.6210
9,Xavier,0.6149
10,Wisconsin,0.6140
11,Brigham Young,0.6125
12,Richmond,0.6111
13,Old Dominion,0.6050
14,Texas,0.6025
15,Siena,0.6022
16,Georgia Tech,0.5988
17,St. Mary's,0.5968
18,Louisville,0.5949
19,Wake Forest,0.5939
20,Washington,0.5915
21,Wichita State,0.5877
22,UAB,0.5851
23,Kent State,0.5843
24,Notre Dame,0.5838
25,New Mexico State,0.5798
26,Memphis,0.5779
27,Mississippi State,0.5759
28,Murray State,0.5749
29,Virginia Tech,0.5732
30,Mississippi,0.5712
31,Arizona State,0.5701
32,Cincinnati,0.5698
33,Marshall,0.5659
34,Wofford,0.5635
35,South Florida,0.5626
36,Nevada,0.5618
37,Northeastern,0.5595
38,Charlotte,0.5548
39,Portland,0.5541
40,Fairfield,0.5530
41,IUPUI,0.5499
42,Weber State,0.5475
43,Saint Louis,0.5471
44,Akron,0.5457
45,College of Charleston,0.5443
46,South Carolina,0.5424
47,Ohio,0.5420
48,Montana,0.5411
49,Miami (Fla.),0.5402
50,Appalachian State,0.5380
51,Morgan State,0.5378
52,Bradley,0.5347
53,Green Bay,0.5312
54,Troy,0.5303
55,Long Beach State,0.5292
56,Southern Miss,0.5278
57,Creighton,0.5271
58,Northern Colorado,0.5257
59,Colorado State,0.5255
60,E. Tennessee State,0.5246
61,Iowa State,0.5243
62,Boston College,0.5240
63,Virginia,0.5219
64,Robert Morris,0.5216
65,Michigan,0.5202
66,Princeton,0.5191
67,Belmont,0.5184
68,UCLA,0.5178
69,Rider,0.5170
70,Providence,0.5166
71,Jacksonville,0.5152
72,Hofstra,0.5145
73,Quinnipiac,0.5139
74,Nebraska,0.5133
75,Stephen F. Austin,0.5125
76,Auburn,0.5113
77,Eastern Kentucky,0.5103
78,Utah,0.5075
79,Arkansas,0.5066
80,Rutgers,0.5063
81,Stanford,0.5054
82,Cleveland State,0.5049
83,Detroit,0.5027
84,Eastern Illinois,0.5023
85,Mount St. Mary's,0.5015
86,La Salle,0.5012
87,Loyola Marymount,0.5001
88,Middle Tennessee,0.4971
89,Davidson,0.4968
90,Massachusetts,0.4963
91,Arkansas-Pine Bluff,0.4958
92,Oregon State,0.4954
93,Texas-San Antonio,0.4922
94,Bowling Green,0.4908
95,UCF,0.4902
96,Southeastern Louisiana,0.4853
97,Central Michigan,0.4829
98,Northern Arizona,0.4813
99,Jackson State,0.4808
100,Eastern Michigan,0.4786
101,Boise State,0.4773
102,San Francisco,0.4769
103,Lipscomb,0.4766
104,Lafayette,0.4751
105,South Alabama,0.4734
106,Loyola-Chicago,0.4717
107,Loyola-Maryland,0.4705
108,Portland State,0.4700
109,NC-Asheville,0.4699
110,Mercer,0.4687
111,LSU,0.4653
112,South Carolina State,0.4644
113,Texas Southern,0.4614
114,Binghamton,0.4607
115,East Carolina,0.4585
116,Santa Clara,0.4568
117,Texas-Arlington,0.4563
118,NC-Wilmington,0.4555
119,Delaware,0.4551
120,James Madison,0.4526
121,Texas State-San Marcos,0.4523
122,Air Force,0.4521
123,Army,0.4488
124,NC-Greensboro,0.4482
125,Cal State Northridge,0.4466
126,Hawaii,0.4447
127,California Riverside,0.4440
128,Brown,0.4431
129,Bethune-Cookman,0.4412
130,Northern Illinois,0.4385
131,Sacred Heart,0.4379
132,Navy,0.4377
133,Yale,0.4364
134,Elon,0.4340
135,Youngstown State,0.4324
136,Louisiana-Monroe,0.4315
137,Alabama State,0.4312
138,Nicholls State,0.4302
139,Eastern Washington,0.4295
140,UMKC,0.4279
141,Hampton,0.4269
142,Charleston Southern,0.4264
143,St. Francis (Pa.),0.4252
144,Monmouth,0.4242
145,Illinois-Chicago,0.4224
146,St. Francis (N.Y.),0.4193
147,Florida International,0.4174
