,Team,RPI
0,Kansas,0.6793
1,San Diego State,0.6672
2,Brigham Young,0.6526
3,Kentucky,0.6461
4,Notre Dame,0.6414
5,Texas,0.6352
6,Georgetown,0.6323
7,Utah State,0.6242
8,Louisville,0.6222
9,Arizona,0.6170
10,West Virginia,0.6141
11,Kansas State,0.6098
12,UNLV,0.6072
13,Vanderbilt,0.6052
14,Texas A&M;,0.5996
15,UAB,0.5939
16,Butler,0.5906
17,Harvard,0.5892
18,Missouri,0.5869
19,Penn State,0.5854
20,Richmond,0.5851
21,Missouri State,0.5838
22,Michigan State,0.5795
23,Georgia,0.5775
24,Virginia Commonwealth,0.5763
25,Belmont,0.5757
26,Oakland,0.5749
27,Florida State,0.5732
28,Clemson,0.5719
29,Texas-El Paso,0.5701
30,Oklahoma State,0.5699
31,Southern Miss,0.5688
32,Colorado,0.5660
33,Southern California,0.5615
34,UCF,0.5611
35,Valparaiso,0.5603
36,Miami (Fla.),0.5593
37,LIU-Brooklyn,0.5577
38,Morehead State,0.5564
39,Bucknell,0.5550
40,Tulsa,0.5543
41,Mississippi,0.5525
42,Minnesota,0.5522
43,Northwestern,0.5502
44,Nebraska,0.5501
45,E. Tennessee State,0.5453
46,Wisconsin-Milwaukee,0.5424
47,Vermont,0.5417
48,Fairfield,0.5412
49,Northern Colorado,0.5402
50,Rhode Island,0.5386
51,Portland,0.5365
52,Rider,0.5354
53,Akron,0.5345
54,Wofford,0.5340
55,Miami (Ohio),0.5330
56,Boise State,0.5310
57,IUPUI,0.5299
58,Murray State,0.5297
59,Mississippi State,0.5260
60,Rutgers,0.5246
61,Creighton,0.5221
62,North Carolina State,0.5210
63,Arkansas,0.5204
64,Boston University,0.5199
65,Oral Roberts,0.5193
66,North Texas,0.5152
67,Oregon,0.5145
68,Idaho,0.5139
69,New Mexico State,0.5126
70,Virginia,0.5114
71,Detroit,0.5101
72,George Washington,0.5080
73,NC-Asheville,0.5072
74,San Jose State,0.5050
75,Massachusetts,0.5030
76,Hampton,0.5026
77,South Florida,0.5022
78,Santa Barbara,0.5017
79,McNeese State,0.5010
80,Arizona State,0.4992
81,Ohio,0.4978
82,Texas Tech,0.4973
83,Ball State,0.4955
84,La Salle,0.4953
85,Green Bay,0.4944
86,Pennsylvania,0.4937
87,Saint Louis,0.4929
88,Arkansas State,0.4925
89,Loyola-Maryland,0.4922
90,Canisius,0.4914
91,South Dakota State,0.4892
92,Iowa,0.4884
93,Rice,0.4881
94,Tennessee Tech,0.4874
95,Texas Southern,0.4863
96,Nevada,0.4850
97,Appalachian State,0.4847
98,Loyola-Chicago,0.4830
99,Chattanooga,0.4811
100,Cal Poly,0.4780
101,Fresno State,0.4760
102,Lehigh,0.4758
103,Southern Illinois,0.4742
104,Morgan State,0.4727
105,Middle Tennessee,0.4700
106,St. Francis (N.Y.),0.4688
107,Maine,0.4685
108,Drake,0.4672
109,Oregon State,0.4668
110,Mercer,0.4665
111,Georgia State,0.4659
112,Charlotte,0.4655
113,LSU,0.4646
114,Stephen F. Austin,0.4621
115,North Carolina A&T;,0.4607
116,Bradley,0.4591
117,Charleston Southern,0.4581
118,Northwestern State,0.4566
119,Houston,0.4562
120,Nicholls State,0.4557
121,Pepperdine,0.4539
122,Bowling Green,0.4515
123,Louisiana Tech,0.4496
124,Jackson State,0.4479
125,Utah Valley,0.4468
126,Bryant University,0.4442
127,Illinois State,0.4433
128,Alabama State,0.4429
129,St. Francis (Pa.),0.4421
130,High Point,0.4419
131,Gardner-Webb,0.4416
132,California Riverside,0.4411
133,Southern Utah,0.4391
134,Elon,0.4383
135,North Dakota,0.4366
136,Sacred Heart,0.4335
137,Portland State,0.4326
138,Hartford,0.4325
139,Army,0.4317
140,Texas A&amp;M-Corpus; Christi,0.4303
141,Florida International,0.4282
142,Holy Cross,0.4271
143,Towson,0.4265
144,Eastern Washington,0.4260
145,Tennessee-Martin,0.4257
146,Manhattan,0.4250
147,Youngstown State,0.4245
148,Lamar,0.4239
149,Navy,0.4218
150,California Davis,0.4196
151,Cal State Fullerton,0.4171
152,Marist,0.4159
153,Central Michigan,0.4131
154,Delaware State,0.4095
155,Dartmouth,0.4078
156,Colgate,0.4062
157,New Jersey Tech,0.4055
158,South Dakota,0.4050
159,Longwood,0.4017
160,Kennesaw State,0.4004
161,Maryland-Eastern Shore,0.3926
162,Louisiana-Monroe,0.3871
163,Fairleigh Dickinson,0.3865
164,Florida A&M;,0.3846
165,Jacksonville State,0.3760
166,Radford,0.3715
167,South Carolina State,0.3689
168,Alcorn State,0.3663
169,Chicago State,0.3604
170,Georgia Southern,0.3522
171,Southern,0.3391
172,Ohio State,0.6723
173,Duke,0.6611
174,North Carolina,0.6485
175,Florida,0.6414
176,Pittsburgh,0.6377
177,Purdue,0.6343
178,Connecticut,0.6305
179,Wisconsin,0.6227
180,Syracuse,0.6201
181,Old Dominion,0.6167
182,Xavier,0.6099
183,George Mason,0.6079
184,St. John's,0.6064
185,Memphis,0.6000
186,Temple,0.5996
187,Washington,0.5921
188,Tennessee,0.5906
189,Cincinnati,0.5885
190,Villanova,0.5859
191,Princeton,0.5853
192,Cleveland State,0.5841
193,UCLA,0.5814
194,St. Mary's,0.5792
195,Illinois,0.5772
196,Colorado State,0.5758
197,Michigan,0.5754
198,Marshall,0.5737
199,Gonzaga,0.5728
200,Boston College,0.5711
201,Wichita State,0.5700
202,Virginia Tech,0.5695
203,Marquette,0.5684
204,New Mexico,0.5631
205,Iona,0.5614
206,Dayton,0.5608
207,College of Charleston,0.5599
208,Drexel,0.5584
209,California,0.5568
210,Kent State,0.5560
211,Alabama,0.5545
212,Washington State,0.5532
213,Indiana State,0.5522
214,Hofstra,0.5512
215,James Madison,0.5501
216,Long Beach State,0.5465
217,St. Peter's,0.5431
218,Baylor,0.5424
219,East Carolina,0.5416
220,Maryland,0.5410
221,Robert Morris,0.5386
222,Seton Hall,0.5374
223,Coastal Carolina,0.5365
224,Montana,0.5350
225,Duquesne,0.5345
226,Air Force,0.5339
227,Northern Iowa,0.5326
228,Florida Atlantic,0.5310
229,Furman,0.5297
230,Utah,0.5269
231,San Francisco,0.5255
232,St. Bonaventure,0.5226
233,Wright State,0.5211
234,Oklahoma,0.5205
235,American,0.5203
236,Austin Peay,0.5196
237,Lipscomb,0.5188
238,South Carolina,0.5148
239,Evansville,0.5141
240,Iowa State,0.5136
241,Delaware,0.5116
242,Jacksonville,0.5107
243,Quinnipiac,0.5097
244,Central Connecticut State,0.5075
245,North Florida,0.5055
246,Weber State,0.5041
247,Northern Arizona,0.5027
248,Providence,0.5025
249,Yale,0.5019
250,Santa Clara,0.5015
251,Stanford,0.5008
252,Hawaii,0.4991
253,Saint Joseph's,0.4973
254,Buffalo,0.4966
255,Georgia Tech,0.4953
256,Wagner,0.4949
257,Western Carolina,0.4938
258,Western Michigan,0.4931
259,Sam Houston State,0.4928
260,Northeastern,0.4923
261,IPFW,0.4922
262,Davidson,0.4897
263,Liberty,0.4890
264,Columbia,0.4884
265,Arkansas-Little Rock,0.4877
266,Pacific,0.4873
267,Indepenedent,0.4856
268,Texas-San Antonio,0.4849
269,Western Kentucky,0.4834
270,Bethune-Cookman,0.4822
271,VMI,0.4783
272,Siena,0.4779
273,Presbyterian,0.4760
274,Southern Methodist,0.4743
275,TCU,0.4730
276,Cornell,0.4711
277,UMKC,0.4697
278,Louisiana-Lafayette,0.4687
279,Albany,0.4676
280,NC-Wilmington,0.4669
281,Lafayette,0.4667
282,Winthrop,0.4659
283,Texas State-San Marcos,0.4658
284,Southeastern Louisiana,0.4647
285,William &amp; Mary,0.4643
286,Mount St. Mary's,0.4613
287,Tennessee State,0.4594
288,DePaul,0.4590
289,Tulane,0.4570
290,North Dakota State,0.4563
291,Stony Brook,0.4557
292,Brown,0.4545
293,Denver,0.4528
294,Coppin State,0.4507
295,Cal State Northridge,0.4495
296,Mississippi Valley State,0.4475
297,Fordham,0.4452
298,Auburn,0.4436
299,Savannah State,0.4432
300,Montana State,0.4425
301,Wake Forest,0.4419
302,Eastern Kentucky,0.4417
303,Wyoming,0.4415
304,Troy,0.4399
305,Loyola Marymount,0.4388
306,Norfolk State,0.4375
307,Texas-Arlington,0.4361
308,New Hampshire,0.4329
309,South Alabama,0.4325
310,North Carolina Central,0.4325
311,Campbell,0.4310
312,Florida Gulf Coast,0.4298
313,Samford,0.4273
314,Monmouth,0.4267
315,Niagara,0.4261
316,Seattle,0.4259
317,Illinois-Chicago,0.4252
318,The Citadel,0.4248
319,California Irvine,0.4239
320,NC-Greensboro,0.4233
