,Team,RPI
0,Kansas,0.6742
1,North Carolina,0.6569
2,Utah,0.6380
3,Duke,0.6271
4,South Carolina,0.6202
5,Clemson,0.6159
6,Cincinnati,0.6111
7,Tulsa,0.6017
8,Arizona,0.5993
9,Georgia,0.5965
10,California,0.5963
11,Rhode Island,0.5939
12,Virginia,0.5932
13,Charlotte,0.5917
14,Texas Tech,0.5894
15,Boston University,0.5871
16,Boston College,0.5853
17,Illinois State,0.5842
18,Iowa,0.5826
19,Texas,0.5807
20,TCU,0.5798
21,Colorado,0.5785
22,Massachusetts,0.5785
23,Oklahoma,0.5752
24,West Virginia,0.5724
25,Marquette,0.5712
26,College of Charleston,0.5686
27,Nebraska,0.5670
28,Georgetown,0.5655
29,Tulane,0.5637
30,Fresno State,0.5609
31,Oregon,0.5605
32,Valparaiso,0.5593
33,Miami (Ohio),0.5566
34,Colorado State,0.5561
35,Bowling Green,0.5549
36,Michigan State,0.5539
37,George Washington,0.5505
38,Pacific,0.5487
39,South Alabama,0.5473
40,LIU-Brooklyn,0.5471
41,Washington,0.5462
42,Connecticut,0.5441
43,St. John's,0.5432
44,Butler,0.5392
45,Old Dominion,0.5372
46,St. Mary's,0.5342
47,Baylor,0.5329
48,East Carolina,0.5313
49,Auburn,0.5310
50,Iona,0.5280
51,St. Bonaventure,0.5270
52,Bradley,0.5250
53,Fairleigh Dickinson,0.5242
54,NC-Asheville,0.5236
55,Kansas State,0.5206
56,LSU,0.5185
57,Southern Methodist,0.5172
58,Monmouth,0.5162
59,Virginia Tech,0.5137
60,Rutgers,0.5130
61,Montana,0.5117
62,Canisius,0.5114
63,James Madison,0.5105
64,Virginia Commonwealth,0.5081
65,Chattanooga,0.5056
66,Buffalo,0.5050
67,Tennessee,0.5034
68,Creighton,0.5019
69,Arkansas-Little Rock,0.5012
70,Texas A&M;,0.5009
71,Western Michigan,0.4989
72,Louisiana Tech,0.4973
73,Charleston Southern,0.4969
74,Houston,0.4958
75,Delaware,0.4942
76,Detroit,0.4935
77,San Francisco,0.4925
78,Wyoming,0.4922
79,Middle Tennessee,0.4917
80,Indiana State,0.4902
81,Green Bay,0.4899
82,Murray State,0.4888
83,Cornell,0.4880
84,Toledo,0.4879
85,Dayton,0.4863
86,Mount St. Mary's,0.4844
87,La Salle,0.4825
88,Florida International,0.4803
89,McNeese State,0.4780
90,Montana State,0.4769
91,Gonzaga,0.4738
92,William &amp; Mary,0.4726
93,Mississippi Valley State,0.4699
94,Loyola-Maryland,0.4696
95,Cal State Northridge,0.4671
96,Oregon State,0.4660
97,Idaho,0.4653
98,San Diego State,0.4637
99,Cal State Fullerton,0.4611
100,Kent State,0.4597
101,Western Carolina,0.4588
102,Colgate,0.4572
103,South Carolina State,0.4561
104,VMI,0.4552
105,Southern Utah,0.4546
106,Maine,0.4511
107,Niagara,0.4502
108,Cal Poly,0.4499
109,George Mason,0.4485
110,Southeast Missouri State,0.4476
111,Northwestern State,0.4463
112,New Hampshire,0.4460
113,Akron,0.4441
114,DePaul,0.4434
115,Fairfield,0.4404
116,Idaho State,0.4397
117,Manhattan,0.4392
118,Wagner,0.4356
119,Texas-Arlington,0.4348
120,Yale,0.4329
121,Nicholls State,0.4327
122,Siena,0.4322
123,Campbell,0.4311
124,Winthrop,0.4296
125,Eastern Illinois,0.4267
126,Drake,0.4257
127,Texas Southern,0.4245
128,Sam Houston State,0.4228
129,Furman,0.4218
130,Pepperdine,0.4210
131,Wright State,0.4186
132,Brown,0.4183
133,Morgan State,0.4148
134,Georgia Southern,0.4117
135,Eastern Washington,0.4104
136,Sacramento State,0.4092
137,Prairie View A&M;,0.4081
138,Maryland-Eastern Shore,0.4072
139,Youngstown State,0.4067
140,Alabama State,0.4049
141,Florida A&M;,0.4041
142,Morehead State,0.3995
143,Robert Morris,0.3985
144,Hampton,0.3977
145,Delaware State,0.3969
146,Texas-San Antonio,0.3961
147,Maryland-Baltimore County,0.3853
148,Southeastern Louisiana,0.3824
149,Wofford,0.3748
150,UCF,0.3741
151,Mercer,0.3287
152,Kentucky,0.6572
153,Minnesota,0.6522
154,Wake Forest,0.6344
155,Villanova,0.6230
156,UCLA,0.6164
157,Saint Joseph's,0.6124
158,New Mexico,0.6089
159,Indepenedent,0.6014
160,Louisville,0.5978
161,Maryland,0.5963
162,Purdue,0.5946
163,Illinois,0.5934
164,Wisconsin,0.5919
165,Xavier,0.5907
166,Stanford,0.5886
167,Princeton,0.5855
168,Vanderbilt,0.5847
169,Iowa State,0.5829
170,Temple,0.5818
171,Michigan,0.5805
172,Missouri State,0.5797
173,Mississippi,0.5785
174,Providence,0.5771
175,Oklahoma State,0.5748
176,Hawaii,0.5721
177,Southern California,0.5692
178,Florida State,0.5675
179,Oral Roberts,0.5665
180,UNLV,0.5639
181,Syracuse,0.5624
182,North Carolina State,0.5605
183,Drexel,0.5603
184,Arkansas,0.5577
185,Pittsburgh,0.5562
186,New Orleans,0.5554
187,Memphis,0.5546
188,Eastern Michigan,0.5509
189,Nevada,0.5500
190,Notre Dame,0.5477
191,Missouri,0.5472
192,Northern Iowa,0.5465
193,New Mexico State,0.5460
194,Alabama,0.5435
195,Evansville,0.5418
196,Miami (Fla.),0.5381
197,UAB,0.5358
198,Ohio,0.5332
199,Utah State,0.5318
200,Texas-El Paso,0.5313
201,Georgia Tech,0.5290
202,Marshall,0.5279
203,Northern Arizona,0.5266
204,Santa Clara,0.5243
205,Ball State,0.5240
206,Davidson,0.5218
207,NC-Wilmington,0.5203
208,Dartmouth,0.5178
209,Liberty,0.5167
210,Mississippi State,0.5160
211,San Jose State,0.5133
212,Western Illinois,0.5129
213,Rice,0.5117
214,Hartford,0.5105
215,Harvard,0.5103
216,Ohio State,0.5068
217,Penn State,0.5051
218,Wichita State,0.5036
219,Coppin State,0.5020
220,Southern Miss,0.5018
221,Southern Illinois,0.5011
222,Seton Hall,0.4989
223,San Diego,0.4986
224,Weber State,0.4971
225,Boise State,0.4968
226,Washington State,0.4950
227,Illinois-Chicago,0.4938
228,Pennsylvania,0.4927
229,Navy,0.4924
230,Troy,0.4921
231,Florida,0.4914
232,Arkansas State,0.4901
233,Appalachian State,0.4890
234,Richmond,0.4884
235,Lamar,0.4880
236,Saint Louis,0.4872
237,Duquesne,0.4861
238,Western Kentucky,0.4836
239,Long Beach State,0.4814
240,Louisiana-Monroe,0.4790
241,Texas State-San Marcos,0.4770
242,Radford,0.4764
243,Louisiana-Lafayette,0.4731
244,Rider,0.4717
245,American,0.4698
246,Arizona State,0.4684
247,Bucknell,0.4670
248,Hofstra,0.4657
249,Vermont,0.4645
250,Austin Peay,0.4628
251,The Citadel,0.4598
252,Northwestern,0.4590
253,St. Peter's,0.4585
254,Northern Illinois,0.4564
255,Santa Barbara,0.4553
256,South Florida,0.4549
257,Jackson State,0.4526
258,Florida Atlantic,0.4505
259,Towson,0.4501
260,St. Francis (Pa.),0.4496
261,Tennessee Tech,0.4479
262,Samford,0.4469
263,Coastal Carolina,0.4463
264,North Texas,0.4459
265,UMKC,0.4441
266,North Carolina A&T;,0.4412
267,Stephen F. Austin,0.4399
268,NC-Greensboro,0.4395
269,Cleveland State,0.4389
270,Fordham,0.4349
271,Tennessee State,0.4340
272,St. Francis (N.Y.),0.4327
273,Portland,0.4324
274,Alcorn State,0.4317
275,Air Force,0.4303
276,Wisconsin-Milwaukee,0.4269
277,Loyola Marymount,0.4266
278,Tennessee-Martin,0.4252
279,Northeastern,0.4244
280,Brigham Young,0.4219
281,Loyola-Chicago,0.4214
282,Central Connecticut State,0.4194
