,Team,RPI
0,Ohio State,0.6720
1,UCLA,0.6579
2,Pittsburgh,0.6463
3,Southern Illinois,0.6400
4,Georgetown,0.6368
5,Kansas,0.6334
6,Kentucky,0.6262
7,Duke,0.6182
8,Texas A&M;,0.6156
9,Villanova,0.6138
10,Oregon,0.6112
11,Nevada,0.6036
12,Washington State,0.6031
13,Butler,0.5966
14,Illinois,0.5948
15,Notre Dame,0.5943
16,Xavier,0.5940
17,Arkansas,0.5907
18,Louisville,0.5890
19,Drexel,0.5882
20,Florida State,0.5867
21,Utah State,0.5845
22,Clemson,0.5833
23,Southern California,0.5824
24,Alabama,0.5819
25,Oklahoma State,0.5808
26,Texas Tech,0.5792
27,Virginia,0.5782
28,West Virginia,0.5751
29,Appalachian State,0.5735
30,Gonzaga,0.5725
31,Stanford,0.5710
32,Mississippi State,0.5700
33,Akron,0.5679
34,New Mexico State,0.5668
35,George Washington,0.5621
36,Hofstra,0.5605
37,Dayton,0.5573
38,Bucknell,0.5555
39,Long Beach State,0.5550
40,Texas A&amp;M-Corpus; Christi,0.5546
41,Houston,0.5528
42,Vermont,0.5524
43,Fresno State,0.5507
44,North Carolina State,0.5481
45,LSU,0.5468
46,Missouri,0.5459
47,Saint Joseph's,0.5426
48,Western Kentucky,0.5423
49,Santa Clara,0.5410
50,Loyola-Chicago,0.5389
51,Nebraska,0.5363
52,Ohio,0.5351
53,Fordham,0.5337
54,South Carolina,0.5334
55,Boise State,0.5315
56,Auburn,0.5298
57,Sam Houston State,0.5289
58,Austin Peay,0.5259
59,UCF,0.5250
60,George Mason,0.5242
61,Wake Forest,0.5238
62,Oakland,0.5221
63,South Alabama,0.5173
64,Southern Miss,0.5158
65,Evansville,0.5128
66,St. John's,0.5123
67,Iowa State,0.5115
68,North Texas,0.5101
69,Indiana State,0.5085
70,Baylor,0.5080
71,Weber State,0.5059
72,Tulane,0.5045
73,Central Connecticut State,0.5029
74,Northern Arizona,0.5012
75,Sacred Heart,0.5008
76,Seton Hall,0.4986
77,Florida Atlantic,0.4980
78,Miami (Fla.),0.4967
79,Illinois-Chicago,0.4962
80,Middle Tennessee,0.4949
81,Arkansas State,0.4938
82,Marshall,0.4927
83,Northwestern State,0.4917
84,Cornell,0.4911
85,Florida A&M;,0.4901
86,Youngstown State,0.4893
87,Samford,0.4888
88,Northwestern,0.4876
89,Lipscomb,0.4865
90,Murray State,0.4860
91,TCU,0.4848
92,High Point,0.4823
