,Team,RPI
0,Syracuse,0.6667
1,Michigan State,0.6596
2,Duke,0.6514
3,Ohio State,0.6379
4,Marquette,0.6330
5,Florida State,0.6259
6,Michigan,0.6214
7,Georgetown,0.6201
8,Indepenedent,0.6176
9,Vanderbilt,0.6156
10,Southern Miss,0.6138
11,Wisconsin,0.6094
12,Gonzaga,0.6078
13,New Mexico,0.6063
14,Colorado State,0.6051
15,Saint Louis,0.5991
16,Iowa State,0.5916
17,Harvard,0.5896
18,California,0.5857
19,Notre Dame,0.5839
20,Xavier,0.5813
21,South Dakota State,0.5798
22,Brigham Young,0.5783
23,Purdue,0.5779
24,North Carolina State,0.5771
25,Oral Roberts,0.5769
26,Virginia,0.5762
27,Akron,0.5744
28,West Virginia,0.5736
29,New Mexico State,0.5728
30,Mississippi,0.5722
31,Oregon,0.5705
32,Northwestern,0.5702
33,Nevada,0.5701
34,Saint Joseph's,0.5667
35,Washington,0.5658
36,Northern Iowa,0.5611
37,Mississippi State,0.5601
38,Massachusetts,0.5577
39,Buffalo,0.5569
40,Dayton,0.5546
41,Wyoming,0.5535
42,Cleveland State,0.5530
43,Tennessee,0.5521
44,Bucknell,0.5487
45,Lehigh,0.5472
46,Denver,0.5452
47,Valparaiso,0.5447
48,Stanford,0.5428
49,Robert Morris,0.5393
50,Georgia,0.5389
51,Old Dominion,0.5385
52,Maryland,0.5361
53,Tennessee State,0.5358
54,Duquesne,0.5354
55,UAB,0.5350
56,TCU,0.5334
57,Fairfield,0.5328
58,Loyola Marymount,0.5293
59,Tulsa,0.5283
60,Oklahoma State,0.5270
61,Missouri State,0.5256
62,Detroit,0.5240
63,UCLA,0.5236
64,Indiana State,0.5214
65,Evansville,0.5205
66,Mercer,0.5192
67,Vermont,0.5183
68,Tennessee Tech,0.5165
69,South Carolina Upstate,0.5144
70,American,0.5130
71,Utah State,0.5125
72,Auburn,0.5123
73,Texas-El Paso,0.5115
74,Manhattan,0.5101
75,Clemson,0.5089
76,Delaware,0.5079
77,Quinnipiac,0.5050
78,Cal State Fullerton,0.5045
79,St. John's,0.5036
80,Penn State,0.5025
81,Rutgers,0.5019
82,Texas A&M;,0.4986
83,Charlotte,0.4972
84,South Alabama,0.4958
85,Rice,0.4945
86,Boise State,0.4924
87,Arkansas-Little Rock,0.4916
88,Wofford,0.4911
89,North Florida,0.4906
90,Coastal Carolina,0.4895
91,North Dakota State,0.4884
92,Louisiana-Lafayette,0.4881
93,Portland State,0.4877
94,Western Kentucky,0.4864
95,Savannah State,0.4845
96,San Diego,0.4837
97,Lafayette,0.4810
98,Georgia Tech,0.4806
99,North Texas,0.4793
