,Team,RPI
0,Kansas,0.6693
1,Washington,0.6579
2,Oklahoma State,0.6574
3,Wake Forest,0.6534
4,Boston College,0.6375
5,Kentucky,0.6365
6,Connecticut,0.6264
7,Villanova,0.6251
8,Alabama,0.6204
9,Florida,0.6191
10,Michigan State,0.6109
11,Utah,0.6042
12,LSU,0.6015
13,Georgia Tech,0.5917
14,Mississippi State,0.5871
15,Charlotte,0.5861
16,Texas-El Paso,0.5849
17,Old Dominion,0.5816
18,Northern Iowa,0.5804
19,Miami (Ohio),0.5797
20,Stanford,0.5780
21,Iowa,0.5775
22,Wichita State,0.5757
23,Louisiana-Lafayette,0.5711
24,UAB,0.5692
25,Ohio State,0.5667
26,DePaul,0.5650
27,Pennsylvania,0.5644
28,Maryland,0.5637
29,Rice,0.5626
30,Kent State,0.5611
31,North Carolina State,0.5606
32,Saint Joseph's,0.5580
33,New Mexico,0.5570
34,Miami (Fla.),0.5560
35,Texas A&M;,0.5545
36,Notre Dame,0.5541
37,Western Kentucky,0.5531
38,Georgetown,0.5517
39,Arkansas-Little Rock,0.5516
40,Oregon,0.5502
41,Houston,0.5494
42,Drexel,0.5489
43,Clemson,0.5459
44,Virginia Commonwealth,0.5450
45,TCU,0.5419
46,Providence,0.5407
47,Niagara,0.5404
48,Kansas State,0.5387
49,Colorado,0.5386
50,Denver,0.5382
51,NC-Wilmington,0.5368
52,Toledo,0.5348
53,Bowling Green,0.5308
54,Memphis,0.5297
55,Nebraska,0.5283
56,Cal State Fullerton,0.5262
57,Southeastern Louisiana,0.5229
58,Ball State,0.5220
59,Northwestern,0.5216
60,Wyoming,0.5212
61,Rider,0.5211
62,Pepperdine,0.5207
63,Southern California,0.5195
64,Delaware State,0.5182
65,Hawaii,0.5163
66,Seton Hall,0.5157
67,Chattanooga,0.5150
68,Auburn,0.5130
69,Xavier,0.5120
70,Murray State,0.5096
71,American,0.5089
72,College of Charleston,0.5083
73,Drake,0.5075
74,Louisiana Tech,0.5063
75,Coppin State,0.5045
76,Fresno State,0.5038
77,Illinois-Chicago,0.5007
78,Michigan,0.4997
79,Sam Houston State,0.4979
80,Tennessee State,0.4961
81,Arkansas State,0.4955
82,St. John's,0.4939
83,Lamar,0.4929
84,Fairleigh Dickinson,0.4913
85,UMKC,0.4897
86,Wright State,0.4890
87,Portland State,0.4880
88,Florida International,0.4873
89,Purdue,0.4850
90,Saint Louis,0.4841
91,Georgia Southern,0.4836
92,California Irvine,0.4825
93,Manhattan,0.4816
94,Valparaiso,0.4809
95,Fordham,0.4808
96,Monmouth,0.4797
