,Team,RPI
0,Duke,0.6677
1,North Carolina,0.6531
2,Oklahoma,0.6459
3,Memphis,0.6440
4,Utah,0.6320
5,Kansas,0.6296
6,Villanova,0.6244
7,Florida State,0.6201
8,Xavier,0.6174
9,Oklahoma State,0.6110
10,West Virginia,0.6106
11,Utah State,0.6090
12,Tennessee,0.6082
13,Dayton,0.6037
14,Brigham Young,0.6028
15,Arizona State,0.6005
16,UCLA,0.5991
17,Marquette,0.5974
18,LSU,0.5922
19,California,0.5904
20,Texas,0.5899
21,Western Kentucky,0.5860
22,Wisconsin,0.5840
23,Illinois State,0.5803
24,Niagara,0.5789
25,George Mason,0.5758
26,Tulsa,0.5750
27,Maryland,0.5745
28,Georgetown,0.5720
29,Northern Iowa,0.5714
30,Virginia Tech,0.5700
31,Mississippi State,0.5691
32,Miami (Fla.),0.5674
33,UNLV,0.5652
34,Davidson,0.5617
35,Green Bay,0.5580
36,American,0.5570
37,Duquesne,0.5565
38,Notre Dame,0.5539
39,Kentucky,0.5524
40,Kansas State,0.5494
41,Nevada,0.5486
42,Texas-El Paso,0.5476
43,North Dakota State,0.5462
44,Buffalo,0.5409
45,Arkansas-Little Rock,0.5403
46,Wright State,0.5395
47,Vanderbilt,0.5391
48,Vermont,0.5379
49,Akron,0.5367
50,Seton Hall,0.5355
51,Old Dominion,0.5335
52,Saint Joseph's,0.5328
53,Weber State,0.5309
54,Robert Morris,0.5297
55,North Carolina State,0.5281
56,Portland State,0.5259
57,Cornell,0.5251
58,New Mexico State,0.5245
59,Texas Tech,0.5228
60,Iowa,0.5210
61,Saint Louis,0.5196
62,Rider,0.5183
63,Cal State Northridge,0.5175
64,Richmond,0.5169
65,Troy,0.5146
66,Drexel,0.5145
67,Idaho,0.5134
68,Kent State,0.5112
69,Georgia Tech,0.5110
70,Morehead State,0.5093
71,Austin Peay,0.5083
72,South Alabama,0.5067
73,Pacific,0.5066
74,Arkansas,0.5062
75,Liberty,0.5048
76,Sam Houston State,0.5041
77,Southern Miss,0.5026
78,Bowling Green,0.5025
79,Nicholls State,0.5021
80,Boston University,0.5016
81,Drake,0.4996
82,UCF,0.4993
83,Iowa State,0.4979
84,Holy Cross,0.4972
85,Marshall,0.4965
86,Eastern Kentucky,0.4943
87,The Citadel,0.4933
88,Santa Barbara,0.4926
89,Alabama State,0.4914
90,Jackson State,0.4903
91,Sacred Heart,0.4892
92,Texas-San Antonio,0.4873
93,Texas-Arlington,0.4865
94,Western Carolina,0.4843
95,San Jose State,0.4831
96,St. Bonaventure,0.4820
97,Loyola-Maryland,0.4814
98,Stony Brook,0.4807
99,Cal State Fullerton,0.4804
100,New Hampshire,0.4773
101,Canisius,0.4772
102,California Riverside,0.4766
103,Idaho State,0.4764
104,Charlotte,0.4733
105,Missouri State,0.4718
106,Iona,0.4708
107,Presbyterian,0.4696
108,Florida International,0.4673
109,Towson,0.4663
110,Rice,0.4661
111,East Carolina,0.4623
112,Delaware,0.4619
113,Samford,0.4605
114,Central Connecticut State,0.4594
115,Eastern Washington,0.4590
116,Georgia State,0.4582
117,Colorado,0.4572
118,California Irvine,0.4562
119,Youngstown State,0.4558
120,IUPUI,0.4543
121,Arkansas State,0.4540
122,William &amp; Mary,0.4526
123,Southeastern Louisiana,0.4524
124,Appalachian State,0.4500
125,Arkansas-Pine Bluff,0.4495
126,Bethune-Cookman,0.4491
127,Winthrop,0.4478
128,South Carolina State,0.4469
129,Pennsylvania,0.4465
130,Valparaiso,0.4464
131,North Carolina A&T;,0.4420
132,Jacksonville State,0.4409
133,Southern Methodist,0.4396
134,Tennessee State,0.4390
135,Texas State-San Marcos,0.4386
136,Northern Colorado,0.4375
137,Elon,0.4374
138,NC-Wilmington,0.4360
139,Colgate,0.4355
140,Detroit,0.4337
141,South Dakota State,0.4310
142,South Carolina Upstate,0.4285
143,Louisiana-Monroe,0.4282
144,Columbia,0.4272
145,Fordham,0.4225
146,Longwood,0.4211
147,Georgia Southern,0.4199
148,McNeese State,0.4195
149,Delaware State,0.4185
150,Cal State Bakersfield,0.4167
151,Cal Poly,0.4154
152,Bryant University,0.4138
153,Lafayette,0.4115
154,Florida Gulf Coast,0.4096
155,Houston Baptist,0.4070
156,Fairleigh Dickinson,0.4054
157,NC-Greensboro,0.4006
158,Eastern Michigan,0.3987
159,Loyola Marymount,0.3985
160,St. Francis (Pa.),0.3950
161,Charleston Southern,0.3940
162,North Florida,0.3934
163,Northern Illinois,0.3861
164,Texas-Pan American,0.3825
165,Mississippi Valley State,0.3765
166,Southern,0.3655
167,Kennesaw State,0.3639
168,Southeast Missouri State,0.3569
169,Sacramento State,0.3523
170,New Jersey Tech,0.3086
171,Pittsburgh,0.6670
172,Louisville,0.6463
173,Michigan State,0.6449
174,Connecticut,0.6432
175,Missouri,0.6310
176,Syracuse,0.6252
177,Washington,0.6213
178,Wake Forest,0.6184
179,Siena,0.6122
180,Purdue,0.6109
181,Illinois,0.6101
182,Butler,0.6084
183,Gonzaga,0.6041
184,Clemson,0.6032
185,Temple,0.6010
186,Ohio State,0.6002
187,San Diego State,0.5975
188,Texas A&M;,0.5927
189,Southern California,0.5908
190,Creighton,0.5900
191,Minnesota,0.5882
192,Michigan,0.5850
193,UAB,0.5812
194,St. Mary's,0.5799
195,Virginia Commonwealth,0.5783
196,Cleveland State,0.5751
197,Florida,0.5748
198,Baylor,0.5727
199,South Carolina,0.5719
200,Boston College,0.5711
201,Arizona,0.5691
202,Auburn,0.5686
203,New Mexico,0.5655
204,Rhode Island,0.5639
205,Penn State,0.5614
206,Providence,0.5576
207,Stephen F. Austin,0.5568
208,Nebraska,0.5551
209,Northwestern,0.5537
210,Miami (Ohio),0.5495
211,Mississippi,0.5490
212,Cincinnati,0.5479
213,Houston,0.5474
214,Binghamton,0.5442
215,Northeastern,0.5409
216,Washington State,0.5400
217,Fairfield,0.5392
218,Evansville,0.5391
219,Bradley,0.5374
220,Wyoming,0.5359
221,College of Charleston,0.5342
222,Hofstra,0.5333
223,Stanford,0.5325
224,Alabama,0.5298
225,Boise State,0.5292
226,La Salle,0.5263
227,Virginia,0.5256
228,E. Tennessee State,0.5246
229,Mount St. Mary's,0.5233
230,Portland,0.5219
231,Oakland,0.5206
232,Belmont,0.5184
233,North Texas,0.5175
234,VMI,0.5169
235,Morgan State,0.5164
236,Radford,0.5145
237,Wisconsin-Milwaukee,0.5138
238,Texas A&amp;M-Corpus; Christi,0.5126
239,James Madison,0.5111
240,Tennessee-Martin,0.5094
241,Oral Roberts,0.5084
242,Jacksonville,0.5083
243,Southern Illinois,0.5067
244,Murray State,0.5065
245,St. John's,0.5061
