,Team,RPI
240,Texas-San Antonio,0.4712
241,San Diego,0.4701
242,Towson,0.4685
243,Samford,0.4674
244,Maine,0.4667
245,Southern California,0.4641
246,Dayton,0.4635
247,Ohio State,0.4614
248,Maryland-Baltimore County,0.4609
249,Eastern Illinois,0.4592
250,Dartmouth,0.4570
251,Southern Methodist,0.4536
252,Akron,0.4529
253,North Carolina A&T;,0.4526
254,St. Francis (Pa.),0.4515
255,Loyola-Maryland,0.4507
256,Southeast Missouri State,0.4499
257,North Texas,0.4475
258,San Diego State,0.4464
259,Air Force,0.4450
260,Mississippi Valley State,0.4449
261,Northern Arizona,0.4448
262,Jackson State,0.4443
263,Western Carolina,0.4410
264,Northwestern,0.4401
265,South Alabama,0.4387
266,McNeese State,0.4383
267,Northern Iowa,0.4369
268,Indiana State,0.4357
269,Eastern Kentucky,0.4338
270,UCF,0.4332
271,Georgia State,0.4323
272,Southern Utah,0.4313
273,William &amp; Mary,0.4287
274,Bethune-Cookman,0.4284
275,Chicago State,0.4264
276,LIU-Brooklyn,0.4257
277,Cleveland State,0.4222
278,San Jose State,0.4206
279,Alabama State,0.4192
280,Siena,0.4182
281,Maryland-Eastern Shore,0.4146
282,The Citadel,0.4136
283,Campbell,0.4124
284,Coastal Carolina,0.4118
285,UMKC,0.4107
286,Tennessee-Martin,0.4072
287,Furman,0.4038
288,Cornell,0.4021
289,St. Francis (N.Y.),0.3996
290,Loyola-Chicago,0.3947
291,Central Michigan,0.3927
292,Southern,0.3908
293,Georgia Southern,0.3867
294,Robert Morris,0.3798
295,Sacramento State,0.3703
296,Alcorn State,0.3692
297,Columbia,0.3499
298,Florida A&M;,0.3492
299,Cal Poly,0.3401
