,Team,RPI
0,Florida,0.6764
1,Kansas,0.6610
2,Villanova,0.6455
3,Iowa State,0.6391
4,Duke,0.6371
5,Michigan,0.6329
6,Virginia Commonwealth,0.6258
7,San Diego State,0.6246
8,Kentucky,0.6200
9,Louisville,0.6191
10,Cincinnati,0.6172
11,Massachusetts,0.6138
12,North Carolina,0.6077
13,Saint Louis,0.6069
14,George Washington,0.6028
15,Brigham Young,0.6011
16,Southern Miss,0.5983
17,North Dakota State,0.5976
18,Memphis,0.5949
19,Pittsburgh,0.5895
20,Stanford,0.5868
21,Dayton,0.5837
22,Oklahoma State,0.5820
23,Xavier,0.5804
24,Missouri,0.5786
25,Kansas State,0.5772
26,Southern Methodist,0.5734
27,North Carolina State,0.5716
28,Belmont,0.5713
29,Iona,0.5690
30,St. Mary's,0.5685
31,California,0.5664
32,Delaware,0.5640
33,St. John's,0.5624
34,Georgetown,0.5624
35,Indiana State,0.5611
36,Tulsa,0.5603
37,Richmond,0.5589
38,Arkansas,0.5583
39,Clemson,0.5567
40,Mercer,0.5553
41,LSU,0.5546
42,Missouri State,0.5486
43,Ohio,0.5481
44,St. Bonaventure,0.5459
45,Cleveland State,0.5450
46,Akron,0.5430
47,Towson,0.5420
48,Eastern Kentucky,0.5393
49,North Carolina Central,0.5379
50,Vermont,0.5365
51,Texas-El Paso,0.5362
52,Quinnipiac,0.5360
53,Santa Barbara,0.5318
54,Northern Iowa,0.5301
55,California Irvine,0.5263
56,Wake Forest,0.5256
57,IPFW,0.5243
58,Fresno State,0.5241
59,William &amp; Mary,0.5231
60,Texas Tech,0.5223
61,Northwestern,0.5193
62,Western Kentucky,0.5187
63,Holy Cross,0.5177
64,Robert Morris,0.5173
65,Wisconsin-Milwaukee,0.5158
66,Pacific,0.5146
67,Wyoming,0.5142
68,Nevada,0.5123
69,Denver,0.5113
70,Morehead State,0.5105
71,Houston,0.5101
72,Purdue,0.5087
73,Yale,0.5082
74,Weber State,0.5070
75,Charlotte,0.5066
76,Wofford,0.5053
77,Rhode Island,0.5032
78,Georgia Tech,0.5017
79,Pepperdine,0.5012
80,Miami (Ohio),0.4987
81,South Carolina Upstate,0.4982
82,Stony Brook,0.4975
83,Bucknell,0.4960
84,Auburn,0.4958
85,Southern,0.4943
86,Wright State,0.4939
87,Temple,0.4922
88,Bryant University,0.4918
89,Loyola Marymount,0.4902
90,Oakland,0.4898
91,Montana,0.4891
92,Albany,0.4880
93,Arkansas-Little Rock,0.4874
94,Mount St. Mary's,0.4860
95,Oral Roberts,0.4851
96,Siena,0.4838
97,North Texas,0.4830
98,North Dakota,0.4812
99,Texas-Arlington,0.4808
100,NC-Asheville,0.4805
101,Grand Canyon,0.4805
102,Northern Colorado,0.4801
103,Boston College,0.4794
104,Lipscomb,0.4788
105,VMI,0.4787
106,Kent State,0.4784
107,Tennessee Tech,0.4774
108,Northern Illinois,0.4767
109,Nebraska Omaha,0.4756
110,Western Carolina,0.4753
111,Tulane,0.4747
112,Morgan State,0.4740
113,Norfolk State,0.4704
114,Brown,0.4696
115,St. Peter's,0.4683
116,James Madison,0.4662
117,Army,0.4649
118,Youngstown State,0.4641
119,Texas Southern,0.4622
120,Gardner-Webb,0.4609
121,Chattanooga,0.4606
122,Mississippi State,0.4604
123,Northern Arizona,0.4598
124,Marist,0.4596
125,UMKC,0.4562
126,Northridge,0.4537
127,South Dakota,0.4524
128,Southeast Missouri State,0.4522
129,Chicago State,0.4506
130,Coppin State,0.4469
131,Sacramento State,0.4452
132,Bradley,0.4443
133,Seattle,0.4432
134,Fairleigh Dickinson,0.4381
135,Alabama A&M;,0.4379
136,Savannah State,0.4364
137,Montana State,0.4351
138,Hofstra,0.4333
139,Cal State Bakersfield,0.4323
140,NC-Wilmington,0.4315
141,UMass-Lowell,0.4305
142,Troy,0.4273
143,Idaho State,0.4258
144,Fairfield,0.4246
145,Eastern Illinois,0.4238
146,Central Connecticut State,0.4236
147,Florida A&M;,0.4226
148,St. Francis (Pa.),0.4208
149,Rice,0.4190
150,NC-Greensboro,0.4180
151,Georgia Southern,0.4168
152,Austin Peay,0.4156
153,Texas State-San Marcos,0.4143
154,Ball State,0.4131
155,Liberty,0.4112
156,Samford,0.4108
